sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	IRQ	موجود هناك، بالضبط مقابيل مكتب المعلومات السياحية.
9	corpus-6-test-corpus-26-train	IRQ	عمري ما سامع بهيج عنوان بهل المنطقة.
11	corpus-6-test-corpus-26-train	IRQ	اطلع كبل لحد ما تشوف الصيدلية.
26	corpus-6-test-corpus-26-train	IRQ	شكد يكلف الريوك؟
27	corpus-6-test-corpus-26-train	IRQ	شلون اكدر اساعدك؟
30	corpus-6-test-corpus-26-train	IRQ	اخذ يسره ثالث زوية.
50	corpus-6-test-corpus-26-train	IRQ	تحب اخليلك كريم وشكر بالكهوة مالتك؟
64	corpus-6-test-corpus-26-train	IRQ	ممكن تصرفلي الصك مالتي أبو الميتين دولار؟
74	corpus-6-test-corpus-26-train	IRQ	اذا صار شي، رجاءً اتصل بيه.
86	corpus-6-test-corpus-26-train	IRQ	وين صايره الكهوة؟
87	corpus-6-test-corpus-26-train	IRQ	اريد سترة مال أطفال.
91	corpus-6-test-corpus-26-train	IRQ	ماشي. هاي تكلف خمسة وثمانين سنت للبريد العادي وتلث دولارات بالضبط إضافية للتسليم الخاص.
120	corpus-6-test-corpus-26-test	IRQ	لو اني بمكانك جان اشتريتها.
129	corpus-6-test-corpus-26-train	IRQ	هل راح اواجه صعوبات ويه الكمارك؟
130	corpus-6-test-corpus-26-train	IRQ	عندك احذية رسمية ببوز عريض؟
140	corpus-6-test-corpus-26-train	IRQ	لا. ممكن اقترح غرفة بسريرين لشخص كشي بديل؟ عدنا وحده.
143	corpus-6-test-corpus-26-train	IRQ	اريد كيرلي قوي، رجاءً.
145	corpus-6-test-corpus-26-train	IRQ	تريد بيره.
157	corpus-6-test-corpus-26-train	IRQ	صباح الخير، شلونك؟
158	corpus-6-test-corpus-26-train	IRQ	اسف احتاج اشوف أي هويه تعريفية.
169	corpus-6-test-corpus-26-train	IRQ	شنو نوع الصوص؟
170	corpus-6-test-corpus-26-train	IRQ	هذا بارد شويه، ممكن تحميه؟
173	corpus-6-test-corpus-26-test	IRQ	آسف، هذا المكان محجوز.
176	corpus-6-test-corpus-26-train	IRQ	أني زين. بس ممكن تنادي صديقي؟
177	corpus-6-test-corpus-26-test	IRQ	شكراً. هذا كافي.
184	corpus-6-test-corpus-26-train	IRQ	منو افضل صديق عندك؟
187	corpus-6-test-corpus-26-train	IRQ	يوم الصحة والرياضة المصادف عشرة تشرين الأول هوه عيد وطني يهدف الى تعزيز صحة الناس.
192	corpus-6-test-corpus-26-train	IRQ	تريدني اچيك جوه البنيد مالت السيارة؟
206	corpus-6-test-corpus-26-train	IRQ	ممكن تساعدني ادور على الجنطة مالتي؟
221	corpus-6-test-corpus-26-train	IRQ	راح تسوي ترتيبات بشكل مسبق؟
238	corpus-6-test-corpus-26-train	IRQ	حصلت على مساعده. شكراً.
261	corpus-6-test-corpus-26-train	IRQ	لمن توصل لهنالك، اسألك شخص آخر، رجاءً.
280	corpus-6-test-corpus-26-train	IRQ	اريد قسم أربعة وعشرين، رجاءً.
285	corpus-6-test-corpus-26-train	IRQ	هاي دولارين. احتفظ بالباقي.
315	corpus-6-test-corpus-26-train	IRQ	واحد همبركر وواحد تشيزبيرغر، رجاءً.
319	corpus-6-test-corpus-26-train	IRQ	شكد تأخذ على العملية؟
320	corpus-6-test-corpus-26-train	IRQ	نريد كل واحد يدفع حساب الوجبه مالته.
326	corpus-6-test-corpus-26-train	IRQ	المكان جان على كرسي باللوبي.
333	corpus-6-test-corpus-26-test	IRQ	رجاءً حولي هاي الينات الى جنيهات.
346	corpus-6-test-corpus-26-train	IRQ	اريد قاموس جيب، رجاءً.
360	corpus-6-test-corpus-26-train	IRQ	لشخصين بالسبعة. الأسم هوه واتانابي.
368	corpus-6-test-corpus-26-train	IRQ	ساعتي. جانت سايكو ديجيتال.
370	corpus-6-test-corpus-26-train	IRQ	راح يكون من دواعي سرورنا ان نقدملك الشراب الي تختاره، ووراها العشه. دليل كامل بالمشروبات الي نقدملها بهاي الرحلة موجود بدليل المعلومات بمجلتنا.
373	corpus-6-test-corpus-26-test	IRQ	انته تعيش قريب منا؟
375	corpus-6-test-corpus-26-train	IRQ	وين محل الهدايا؟
386	corpus-6-test-corpus-26-test	IRQ	اني على الطريق السريع واحد يم خليج مورو .
391	corpus-6-test-corpus-26-train	IRQ	اريد ساعة منبه، رجاءً.
398	corpus-6-test-corpus-26-dev	IRQ	بالمناسبة، اني اسمي هيروشي ايجيما.
401	corpus-6-test-corpus-26-dev	IRQ	هذا القطار يوكف عند ليك فورست، مو؟
408	corpus-6-test-corpus-26-train	IRQ	معظم اليابانيين ياكلون اخطبوط وحبار.
416	corpus-6-test-corpus-26-train	IRQ	ممكن اخذ تذكرتين درجة ثانية لشيكاغو، رجاءً؟
419	corpus-6-test-corpus-26-train	IRQ	اني رحت الى نيويورك.
423	corpus-6-test-corpus-26-train	IRQ	شكد رقم الرحلة؟
442	corpus-6-test-corpus-26-test	IRQ	واحد لنيويورك، رجاءً.
446	corpus-6-test-corpus-26-train	IRQ	فد كم يوم.
447	corpus-6-test-corpus-26-train	IRQ	الثاني على اليسره.
471	corpus-6-test-corpus-26-dev	IRQ	هذا الكارت، ماشي؟
488	corpus-6-test-corpus-26-train	IRQ	هل هذا مكتب الاستقبال؟ اكو صيدلية قريبة؟
493	corpus-6-test-corpus-26-train	IRQ	هل عشرة دولارات تكفي تاكسي؟
503	corpus-6-test-corpus-26-train	IRQ	هذا طعمه قوي.
512	corpus-6-test-corpus-26-train	IRQ	أي. انتظر، راح اجيبلك واحد.
516	corpus-6-test-corpus-26-train	IRQ	نص بطل، رجاءً.
540	corpus-6-test-corpus-26-train	IRQ	مو بالضبط. أي شي مو غالي.
548	corpus-6-test-corpus-26-train	IRQ	اتدور على شي؟
551	corpus-6-test-corpus-26-train	IRQ	اربع ليالي.
553	corpus-6-test-corpus-26-train	IRQ	اريد كم جوراب.
565	corpus-6-test-corpus-26-train	IRQ	تكدر تحسبلياها أرخص لأنه اكو كم بعقة؟
571	corpus-6-test-corpus-26-train	IRQ	رجال ضربني بكتف. وراها شفت المحفظة مالتي ماكو.
599	corpus-6-test-corpus-26-train	IRQ	ما متأكد اخذت ملابس كافية لرحلة مال تلث أسابيع.
612	corpus-6-test-corpus-26-train	IRQ	ماشي، نريد نجرب النبيذ الأبيض.
631	corpus-6-test-corpus-26-train	IRQ	اذا أي احد سأل عليه، كوللهم اني راح أكون بالكهوه.
632	corpus-6-test-corpus-26-train	IRQ	اني متأكد جان بالجيب الداخلي بالكبوط مالتي.
641	corpus-6-test-corpus-26-test	IRQ	ممكن تنطيني الأسم والرقم مال الجهة الي تريد تتصل بيها؟
643	corpus-6-test-corpus-26-train	IRQ	هل شركة الطيران راح تدفعلي حتى اشتري بعض الحاجات الشخصية الأساسية والضرورية؟
650	corpus-6-test-corpus-26-train	IRQ	اريد غرفة بيها حمام.
652	corpus-6-test-corpus-26-dev	IRQ	ماكو شي طلع من المكينة؟
667	corpus-6-test-corpus-26-test	IRQ	جان المفروض تاخذ الرحلة ثمانية اثنين صفر، والي غادرت قبل خمسطعش دقيقة. ماشي. ممكن ارتبلك رحلة أخرى.
673	corpus-6-test-corpus-26-train	IRQ	شخص ما فتح الطرد مالتي.
679	corpus-6-test-corpus-26-test	IRQ	اوه، مو فد شي. انته هنا على أي حال.
680	corpus-6-test-corpus-26-train	IRQ	الخطوط الجويه اليابانية، رحلة رقم واحد اثنين تلاثة.
681	corpus-6-test-corpus-26-train	IRQ	اريد اشتري شامبو.
683	corpus-6-test-corpus-26-train	IRQ	ممكن تكولي شوكت نوصل للمركز المدني؟
688	corpus-6-test-corpus-26-train	IRQ	وين اقرب قصاب؟
703	corpus-6-test-corpus-26-train	IRQ	نريد نبقى اربع ليالي من بداية شهر آب.
708	corpus-6-test-corpus-26-train	IRQ	شنو اسم هذا الطابق؟
719	corpus-6-test-corpus-26-train	IRQ	خمسطعش تسعة هو يوم احترام المسنين.
723	corpus-6-test-corpus-26-train	IRQ	ماكو صابون بغرفتي.
741	corpus-6-test-corpus-26-dev	IRQ	اكو شي اكدر اخذه لهذا الطفح الجلدي؟
742	corpus-6-test-corpus-26-train	IRQ	ممكن تغيير الصياغة الى الي كلته هسه؟
761	corpus-6-test-corpus-26-test	IRQ	شكد تطول حتى اطلب؟
773	corpus-6-test-corpus-26-train	IRQ	ممكن تحجي بصوت اعلى شويه، رجاءً؟
777	corpus-6-test-corpus-26-train	IRQ	شكد راح تأخذ قبل لا تطلع؟
786	corpus-6-test-corpus-26-train	IRQ	وين معلومات الرياضة؟
787	corpus-6-test-corpus-26-train	IRQ	هذا الحجم الي انته تسميه حجم عادي يفي بالغرض.
793	corpus-6-test-corpus-26-test	IRQ	شوكت راح تنتهي الجولة ووين؟
848	corpus-6-test-corpus-26-train	IRQ	وين المفروض ابدل القطارات حتى أوصل ادنبره؟
