sentID.BTEC	split	lang	sent
0	corpus-6-train	LEB	هوي بأخر الصالة . رح جبلك شوي هلأ. إذا بدك شي تاني، بس عطيني خبر.
2	corpus-6-train	LEB	بتعمل تعديلات؟
4	corpus-6-train	LEB	بدنا طاولة حد الشباك .
5	corpus-6-test-corpus-26-train	LEB	صار هونيك، بالظبط قدام مكتب استعلامات السياح.
9	corpus-6-test-corpus-26-train	LEB	بعمري ما سمعت بهالعنوان هون .
11	corpus-6-test-corpus-26-train	LEB	روح دغري لحتى تشوف صيدلية.
12	corpus-6-train	LEB	شو هوي أجد لون لهالموسم؟
14	corpus-6-train	LEB	بحالتي، عادة بيكون شغل، وقليل ليكون كرمال الترفيه.
15	corpus-6-train	LEB	رح إبقى يومين.
16	corpus-6-train	LEB	بدي كيرلي ضيق.
17	corpus-6-train	LEB	حابب إحجز أوضتين بتختين.
18	corpus-6-train	LEB	ما بدي ياه منزوع.
19	corpus-6-train	LEB	هيدا الباص بيوقف بشارع ستونر؟
24	corpus-6-train	LEB	عمول معروف فتاح تمك عالواسع.
26	corpus-6-test-corpus-26-train	LEB	أدي حق الترويقة؟
27	corpus-6-test-corpus-26-train	LEB	كيف فيني ساعدك؟
29	corpus-6-train	LEB	تعوا ناكل لقمة.
30	corpus-6-test-corpus-26-train	LEB	روح شمال عالزاوية التالتة.
31	corpus-6-train	LEB	بتنضف هالتياب؟
37	corpus-6-dev	LEB	أنا بعطيك رقم تلفونو و عنوانو.
38	corpus-6-train	LEB	أنا دفعت وجبات الأكل و مصاريف الأوتيل من قبل.
40	corpus-6-train	LEB	عمفتش على مطعم رايق و حلو للشوي . بتحط عليهن إشارة عهالخريطة؟
42	corpus-6-train	LEB	إذا كسرته، تشتريه.
46	corpus-6-train	LEB	رح قلا تدقلك شي إنو ترجع.
50	corpus-6-test-corpus-26-train	LEB	عبالك كريمة و سكر بقهوتك؟
51	corpus-6-train	LEB	هيي عنجد منصابة.
52	corpus-6-train	LEB	بدي قداحة.
53	corpus-6-train	LEB	هالأوتيل عندو تجهيزات لمؤتمر؟
56	corpus-6-train	LEB	معليش إذا أخدنا وجبة خفيفة؟
57	corpus-6-train	LEB	عمبتصل من المطار . رح كون هونيك حوالي الأربعة.
62	corpus-6-train	LEB	وين بنقل على شيكاغو؟
63	corpus-6-train	LEB	أدي حق رسالة مسجلة لتنبعت على فرنسا؟
64	corpus-6-test-corpus-26-train	LEB	فيك تصرفلي الشيك تبعي تبع المتين دولار؟
68	corpus-6-train	LEB	عنجد كتيرمختلفة السواقة عالميلة اليمين من الشارع.
69	corpus-6-train	LEB	الممثل عنجد بيعقد.
72	corpus-6-train	LEB	وين القسم تبعك اللي مش خيالي؟
74	corpus-6-test-corpus-26-train	LEB	إذا لازم يبين، عمل معروف دقلي.
78	corpus-6-dev	LEB	فيك تغيرلي مقعدي؟
79	corpus-6-train	LEB	في كقالة؟
83	corpus-6-train	LEB	بعتذر، رح إهتم بالكلب.
84	corpus-6-train	LEB	"بدي بطاقتين لل ""بسينات""، لهالخميس."
86	corpus-6-test-corpus-26-train	LEB	وين القهوة؟
87	corpus-6-test-corpus-26-train	LEB	بدي كنزة للولاد.
89	corpus-6-dev	LEB	إسمك مرة تاني؟
90	corpus-6-train	LEB	إستاذ براون هون؟
91	corpus-6-test-corpus-26-train	LEB	أوك، بيكلف خمس و تمانين سنت للإيميل العادي و تلاتي دولار بالظبط زيادة للتوصيل الخاص.
92	corpus-6-train	LEB	فيني إستأجر يخت ليوم واحد؟
93	corpus-6-train	LEB	عأي شباك فيني إحجز؟
94	corpus-6-train	LEB	شو هيدا؟
96	corpus-6-train	LEB	فيك تقلي كيف بوصل عالأوبيرا؟
97	corpus-6-train	LEB	ما كنت مبارح سكران شوي، حبيبي؟
98	corpus-6-train	LEB	اذا بتريد لحاق التعليمات من فريقنا .
100	corpus-6-dev	LEB	في محل شامل قريب من هون؟
102	corpus-6-train	LEB	فولا، إذا بتريد.
103	corpus-6-train	LEB	في أوضة أرخص؟
104	corpus-6-train	LEB	بفضل سيارة أوتوماتيك.
105	corpus-6-train	LEB	رح إبقى بالفوا ييه تبع جامعة هارفرد.
106	corpus-6-train	LEB	شو هوي المعدل تبع اليوم؟
108	corpus-6-train	LEB	عندي ربو مزمن.
109	corpus-6-train	LEB	معي حوالي تلات تلاف دولار.
111	corpus-6-train	LEB	ماشي، إستاذ. بيجي معو بطاطا مقلية أو رز بالبيلاف. أياهن بتحب؟
112	corpus-6-train	LEB	كيف بوصل لهالمطرح؟
113	corpus-6-train	LEB	شو نوع القصة؟
115	corpus-6-train	LEB	تلات مرات.
116	corpus-6-train	LEB	أي شباك ببيع طوابع؟
117	corpus-6-train	LEB	من بعد ما هاجمني، ساق لبعيد بفان أبيض.
119	corpus-6-train	LEB	تمام. عمول معروف خلي هالعلامة و قدما بس بدك تجي تاخدا.
120	corpus-6-test-corpus-26-test	LEB	كنت بشتري هيدا إذا أنا كنت محلك.
122	corpus-6-train	LEB	متين دولار . نقدي أو بالبطاقة؟
125	corpus-6-train	LEB	أدي طول الحمولة فوق هيدي البركة؟
128	corpus-6-train	LEB	لازم إتجنب أي نوع من الأكل أنا و عمباخد هالدوا؟
129	corpus-6-test-corpus-26-train	LEB	رح يكون في شي صعوبات مع الجمارك؟
130	corpus-6-test-corpus-26-train	LEB	عندك صبابط رسمي تبع الأصابيع العراض؟
131	corpus-6-train	LEB	فيي أخد شوية نبيد أحمر؟
133	corpus-6-train	LEB	قلي بس نوصل عالمتحف .
134	corpus-6-dev	LEB	هالباص بيروح عأوتيل الشيراتون؟
135	corpus-6-dev	LEB	لشو بيصير هيدا؟
136	corpus-6-dev	LEB	في شوية شوب. فيي إفتح الشباك؟
138	corpus-6-train	LEB	بس دوش تمام .
139	corpus-6-dev	LEB	عينيي مدممين.
140	corpus-6-test-corpus-26-train	LEB	لاء . بد هيك فيي إقترح أوضة بتختين لإستخدام شخص؟ عنا واحدة.
142	corpus-6-dev	LEB	ما فيي أضمن هيدا، بس رح نعمل جهدنا.
143	corpus-6-test-corpus-26-train	LEB	بدي كيرلي ضيق، إذا بتريد.
144	corpus-6-train	LEB	البحر نشاف أقل لتحت بكتير.
145	corpus-6-test-corpus-26-train	LEB	بدا بيرة .
