sentID.BTEC	split	lang	sent
0	corpus-6-train	EGY	هو في اخر القاعة . أنا حأجيبلك شويه دلوقتي . لو محتاج حاجة تانية، قولي.
2	corpus-6-train	EGY	بتعمل تبديلات؟
4	corpus-6-train	EGY	عايزين ترابيزة جنب الشباك .
5	corpus-6-test-corpus-26-train	EGY	ده قدامك هناك، يادوبك قدام مكتب استعلامات السياحة .
9	corpus-6-test-corpus-26-train	EGY	عمري ما سمعت عن العنوان ده هنا .
11	corpus-6-test-corpus-26-train	EGY	أمشي علطول لحد ما تلقي صيدلية.
12	corpus-6-train	EGY	ايه اجدد لون في الموسم ده؟
14	corpus-6-train	EGY	في الحالة بتاعتي، بيبقى عادة شغل، وقليل جدا ترفيه.
15	corpus-6-train	EGY	هقعد يومين .
16	corpus-6-train	EGY	انا عايز اعمل كيرلي جامد.
17	corpus-6-train	EGY	عايز احجز اوضتين بسريرين .
18	corpus-6-train	EGY	انا مش عايزه منزوع.
19	corpus-6-train	EGY	الأوتوبيس ده حيقف في شارع ستونر؟
24	corpus-6-train	EGY	من فضلك افتح بقك جامد.
26	corpus-6-test-corpus-26-train	EGY	بكام الفطار؟
27	corpus-6-test-corpus-26-train	EGY	ازاي أقدر اساعدك؟
29	corpus-6-train	EGY	خلينا ناكل لقمة.
30	corpus-6-test-corpus-26-train	EGY	احود شمال عند الناصية التالته.
31	corpus-6-train	EGY	ممكن تنضف الهدوم ديه؟
37	corpus-6-dev	EGY	انا اديتك تليفونه و عنوانه.
38	corpus-6-train	EGY	انا دفعت مقدما حساب الفندق و الاكل.
40	corpus-6-train	EGY	بأدور على حاتي كويس ويكون هادي. ممكن توريني مكانهم عالخريطة دي؟
42	corpus-6-train	EGY	اللي تكسره، تشتريته.
46	corpus-6-train	EGY	حأبلغها تكلمك اول ما ترجع.
50	corpus-6-test-corpus-26-train	EGY	تحب كريمة و سكر في قهوتك؟
51	corpus-6-train	EGY	هي متعورة جامد.
52	corpus-6-train	EGY	عاوز ولاعة.
53	corpus-6-train	EGY	فيه في الفندق ده تجهيزات للمؤتمرات؟
56	corpus-6-train	EGY	حيكون كويس لو اخدنا وجبة خفيفة؟
57	corpus-6-train	EGY	انا بأكلمك من المطار . حأكون هناك حوالي اربعه.
62	corpus-6-train	EGY	من فين أقدر أروح لشيكاجو؟
63	corpus-6-train	EGY	بكام أقدر ابعت جواب مسجل لفرنسا؟
64	corpus-6-test-corpus-26-train	EGY	ممكن تصرفلي شيك بميتين دولار؟
68	corpus-6-train	EGY	ده فعلا مختلف ان الواحد يسوق على جنب الشارع اليمين.
69	corpus-6-train	EGY	الممثل ده حقيقي رائع.
72	corpus-6-train	EGY	فين قسم الكتب اللي مش خياليه بتاعك؟
74	corpus-6-test-corpus-26-train	EGY	لو لازم يظهر، لو سمحت كلمني .
78	corpus-6-dev	EGY	ممكن لو سمحت تغير الكرسي بتاعي؟
79	corpus-6-train	EGY	فيه ضمان؟
83	corpus-6-train	EGY	أسف، انا حأخد بالي من الكلب.
84	corpus-6-train	EGY	انا عايز تذكرتين علشان حفلى ال كاتس، الخميس ده.
86	corpus-6-test-corpus-26-train	EGY	فين القهوة؟
87	corpus-6-test-corpus-26-train	EGY	عايز بلوفر اطفال.
89	corpus-6-dev	EGY	اسمك تاني لو سمحت؟
90	corpus-6-train	EGY	استاذ براون موجود؟
91	corpus-6-test-corpus-26-train	EGY	اوكيه . ده بيكلف خمسه و تمانين سنت للبريد العادي أو زيادة تلات دولارات بالظبط للبريد المخصوص.
92	corpus-6-train	EGY	ممكن أأجر مركب ليوم؟
93	corpus-6-train	EGY	ممكن أحجز في أى شباك؟
94	corpus-6-train	EGY	أيه ده؟
96	corpus-6-train	EGY	ممكن تقوللي ازاي أروح الاوبرا؟
97	corpus-6-train	EGY	انت ماكنتش سكران شويه الليله اللي فاتت، حبيبي؟
98	corpus-6-train	EGY	لو سمحت خليك ورا تعليمات الموظفين بتوعنا .
100	corpus-6-dev	EGY	فيه هايبر ماركت قريب من هنا؟
102	corpus-6-train	EGY	فول، لو سمحت.
103	corpus-6-train	EGY	فيه اى اوضه ارخص؟
104	corpus-6-train	EGY	انا بأفضل العربيات الاوتوماتيك .
105	corpus-6-train	EGY	انا حأفضل في سكن جامعه هارفارد.
106	corpus-6-train	EGY	كام السعر النهاردة؟
108	corpus-6-train	EGY	انا تعبان علطول من التنفس .
109	corpus-6-train	EGY	عندي حوالي تلات تلاف دولار.
111	corpus-6-train	EGY	حاضر يا أستاذ . ده بييجي أما مع بطاطس محمرة أو رز بيلاف . حضرتك تحب ايه؟
112	corpus-6-train	EGY	ازاى أوصل للمكان ده؟
113	corpus-6-train	EGY	ايه نوع القصه ديه؟
115	corpus-6-train	EGY	تلات مرات .
116	corpus-6-train	EGY	أى شباك بيبيع الطوابع؟
117	corpus-6-train	EGY	بعد ما هاجمني، هرب في عربية صندوق بيضا.
119	corpus-6-train	EGY	أوكي . من فضلك خلي معاك البطاقة ديه و قدمها لما تيجي تستلمه .
120	corpus-6-test-corpus-26-test	EGY	لو كنت مكانك كنت صدقت.
122	corpus-6-train	EGY	ميتين دولار . كاش ولا كريديت كارد؟
125	corpus-6-train	EGY	ياخد وقت اد ايه علشان نعدي البركة؟
128	corpus-6-train	EGY	مفروض اننا أبطل اكل معين و انا بأخد الدوا ده؟
129	corpus-6-test-corpus-26-train	EGY	حالاقي مشاكل مع الجمارك؟
130	corpus-6-test-corpus-26-train	EGY	عندك جزم رسمي واسعه من قدام؟
131	corpus-6-train	EGY	ممكن شويه نبيت أحمر؟
133	corpus-6-train	EGY	قول لي لما نوصل المتحف .
134	corpus-6-dev	EGY	الاتوبيس ده بيروح فندق شيراتون؟
135	corpus-6-dev	EGY	معناه ايه؟
136	corpus-6-dev	EGY	الدنيا حر شويه. ممكن افتح الشباك؟
138	corpus-6-train	EGY	كفاياني اخد دش .
139	corpus-6-dev	EGY	عينيا حمرا بلون الدم .
140	corpus-6-test-corpus-26-train	EGY	لأ . ممكن انصح اوضة بسريرين يقعد فيها واحد بس؟ احنا عندنا واحده .
142	corpus-6-dev	EGY	ما اقدرش اضمن ده، بس حنحاول اد ما نقدر .
143	corpus-6-test-corpus-26-train	EGY	عاوز كيرلي جامد، لو سمحت.
144	corpus-6-train	EGY	البحر متشاف صغير بعيد.
145	corpus-6-test-corpus-26-train	EGY	نفسها في بيرة.
146	corpus-6-train	EGY	محتاج عملية .
147	corpus-6-train	EGY	ممكن بيض كمان، من فضلك.
148	corpus-6-train	EGY	فين محطة الاوتوبيس اللي رايح سنترال بارك؟
149	corpus-6-train	EGY	تاكسيات؟
151	corpus-6-train	EGY	اتفضل مفتاحك يا استاذ، أوضه سته و خمسين دور اتناشر.
153	corpus-6-train	EGY	عاجبني البلوفر بتاعك.
154	corpus-6-train	EGY	اتفضل.
155	corpus-6-train	EGY	ادينا وصلنا . ده فندقك .
156	corpus-6-dev	EGY	امتى يبتدي ماتش السله؟
157	corpus-6-test-corpus-26-train	EGY	صباح الخير . عامل ايه؟
158	corpus-6-test-corpus-26-train	EGY	متأسف بس محتاج أشوف أى مستند اثبات شخصية .
159	corpus-6-train	EGY	ايه كان انطباعك؟
160	corpus-6-train	EGY	أكيد . تحب قهوتك مع العشا او بعدين؟
161	corpus-6-train	EGY	طيارتي الساعه اتناشر لطوكيو.
162	corpus-6-train	EGY	من فضلك عايز اعمل مكالمة خارجية.
163	corpus-6-train	EGY	خمس تشهر.
168	corpus-6-train	EGY	بيحصل في أيام إيه في الأسبوع؟
169	corpus-6-test-corpus-26-train	EGY	أى نوع صوص؟
170	corpus-6-test-corpus-26-train	EGY	ده ساقع شوية . ممكن تدفيه؟
172	corpus-6-train	EGY	عايز جل شعر موضه.
173	corpus-6-test-corpus-26-test	EGY	اسف، المكان ده متاخد.
174	corpus-6-train	EGY	ممكن نشوف المينيو؟
175	corpus-6-train	EGY	مقاسي سته .
176	corpus-6-test-corpus-26-train	EGY	انا كويس جدا. .بس ممكن من غير مؤاخذه تكلم صاحبي؟
177	corpus-6-test-corpus-26-test	EGY	شكرا ليك، ده كفاية .
178	corpus-6-train	EGY	مافيش تاكسي حيقفلك الا لو استنيتهم في موقف التاكسيات .
179	corpus-6-train	EGY	ميزانيتي اقل من خمسين دولار لليله.
180	corpus-6-train	EGY	ممكن من فضلك ناخد صورة سوا؟
181	corpus-6-train	EGY	كم تمن الخدمة؟
182	corpus-6-train	EGY	هي المبيعات في امريكا الشمالية بتزيد بأكتر من خمسه في الميه؟
184	corpus-6-test-corpus-26-train	EGY	مين أقرب صديق ليك؟
186	corpus-6-train	EGY	انت عارف ان واحد من اكبر الابطال في السومو، اللي هى نوع من المصارعة على الطريقة اليابانيه، اميركي؟
187	corpus-6-test-corpus-26-train	EGY	يوم الصحة والرياضة في عشرة اكتوبر معمول علشان يحسن صحة الناس .
188	corpus-6-train	EGY	ده رايح وول ستيريت؟
189	corpus-6-train	EGY	عايز ااجره من يوم خمسة ديسيمبر لحد يوم عشرة ديسمبر .
191	corpus-6-train	EGY	تمام . وانتي اخبارك ايه، يا مدام؟
192	corpus-6-test-corpus-26-train	EGY	عايزني ابص تحت الكبوت؟
195	corpus-6-train	EGY	سكر؟
196	corpus-6-train	EGY	ممكن أدفع بالماستر كارد؟
198	corpus-6-train	EGY	ده مكان اخد الشنط تبع رحلة ان دبليو تسعميه و سبعه ؟
199	corpus-6-train	EGY	حيبقى عندي اعلامة التجارية ديه.
204	corpus-6-train	EGY	انا مبسوط قوي اني قدرت اجي البلد ديه.
205	corpus-6-train	EGY	اسمي و عنواني فيها.
206	corpus-6-test-corpus-26-train	EGY	ممكن تساعدني الاقي شنطتي؟
207	corpus-6-dev	EGY	نوع الحجر ده ايه؟
208	corpus-6-train	EGY	أحب أقول ان حكومتنا مش بتتعامل كويس مع لاجئي القوارب . انا باخد بالي ان اليابان مليانه عالاخر بالناس لدرجة ما ينفعش معاها تسيب الناس دول . لكن، من الناحيه التانيه، فيه قطاعات كتيرة في الصناعه محتاجة ايد عاملة .
209	corpus-6-train	EGY	من الجبل ده . .تقدر تشوف المدينة كلها . .و خلال الفصل ده . .انواع كتيرة من الزهر بتتفتح. . منظرهم في منتهى الجمال.
213	corpus-6-train	EGY	امشي ورايا.
217	corpus-6-train	EGY	من فضلك قوله ان يامادا اتصل.
221	corpus-6-test-corpus-26-train	EGY	ممكن مقدما نجهز الترتيبات؟
224	corpus-6-train	EGY	تمام، من فضلك اكتب البيانات هنا . شنطه واحد بس؟
225	corpus-6-train	EGY	بتحب ايه، اللحمة، الفراخ، ولا السمك؟
227	corpus-6-train	EGY	ممكن تاخد طريق تاني و انت رايح و راجع ؟
228	corpus-6-train	EGY	فيه سناك بار هنا؟
229	corpus-6-dev	EGY	اسمح لي، حضرتك . عايز اشوف بعض الاماكن السياحيه في بوسطن .
232	corpus-6-train	EGY	عندك قايمة طعام باليلباني؟
235	corpus-6-train	EGY	الساعة واحده و خمسة .
238	corpus-6-test-corpus-26-train	EGY	فيه حد بيساعدني. شكرا .
239	corpus-6-train	EGY	محتاج مسكن للوجع.
240	corpus-6-train	EGY	مين ممثلتك المفضلة؟
241	corpus-6-train	EGY	بأحب البيضاوي .
242	corpus-6-train	EGY	اى نوع من المزيكا هم بيعزفوه هناك؟
243	corpus-6-train	EGY	مش عاجبني اللون . ممكن توريني لون تاني.
246	corpus-6-train	EGY	من فضلك خدني لسوق الخضار و الاكل اللي بيكون فاتح الصبح .
248	corpus-6-train	EGY	شنبر نضارتي مكسور .
250	corpus-6-train	EGY	من الساعة تلاته.
252	corpus-6-train	EGY	جميل . انا الكرسي بتاعي جنب الشباك. اوه، لو عايزه تبدلي الكراسي بعدين، يا انسة.
255	corpus-6-train	EGY	امبارح انا اتمتعت بالاماكن الساحية في نيويوك.
256	corpus-6-dev	EGY	انا مهتم بالشنطة الزرقا اللي عالشباك.
258	corpus-6-train	EGY	كلم المالك لو عندك مشاكل .
259	corpus-6-train	EGY	من فضلك اعمللي شعري بالشامبو و ظببط شكلي زى دلوقتي.
261	corpus-6-test-corpus-26-train	EGY	لما توصل هناك، اسأل واحد تاني، من فضلك .
263	corpus-6-train	EGY	لو سمحت قوللي اسرع طريقة اروح بيها سان فرانسيسكو .
267	corpus-6-train	EGY	ممكن مفتاح الاوضه ميتين و خمستاشر؟
268	corpus-6-train	EGY	لو مؤاخذه . ممكن تصورني؟
269	corpus-6-train	EGY	بس اكتب رقم اوضتك و أمضي هنا.
271	corpus-6-train	EGY	اللون تمام . بس المشكلة في المقاس . نقدر نغير ده في ساعة؟
272	corpus-6-train	EGY	كنا مستنينك اليوم ده.
274	corpus-6-train	EGY	عندنا اللي يكفينا كذا يوم.
275	corpus-6-train	EGY	مش فاهم ده.
277	corpus-6-train	EGY	ازاي ارجع لطريقي؟
278	corpus-6-train	EGY	ده معفى من الضايب؟
279	corpus-6-train	EGY	كويس . .لازم يلعبو جولات تانيه لحد ما حد يفوز.
280	corpus-6-test-corpus-26-train	EGY	من فضلك عايز امد حجزي للغرفة، اربعه و عشرين ساعه كمان.
281	corpus-6-train	EGY	ممكن تنطقها؟
285	corpus-6-test-corpus-26-train	EGY	ادي دولارين. خللي الباقي عشانك.
286	corpus-6-train	EGY	امتى العشا؟
287	corpus-6-train	EGY	متأسف ده كتير عليا.
288	corpus-6-train	EGY	فين أنزل علشان أروح يونيون سكوير؟
290	corpus-6-train	EGY	ممكن تسأل المسئولين عن الايجار الواقفين هناك.
293	corpus-6-train	EGY	جين، أزيك . ممكن تاخدي دول للتنضيف؟
296	corpus-6-train	EGY	انا في أجازة.
298	corpus-6-train	EGY	لأ . انا باخطط لزيارة باريس و انا راجع بلدي.
299	corpus-6-dev	EGY	تحب تاخده معاك و لا احنا نبعتهولك؟
301	corpus-6-train	EGY	لوقت قريب كان هناك مطاعم اكلات احنبية، ما بقتش موجوده؟
302	corpus-6-train	EGY	وصلنا لحد ست ساعات دلوقتي.
303	corpus-6-train	EGY	رحلة الخطوط الجويه دلتا واحد واحد اتنين . تأخير في الصعود.
304	corpus-6-train	EGY	ممكن أحجز أوضه بسريرين لليله ديه؟
305	corpus-6-train	EGY	ممكن تكتبلي تقرير عن السرقة علشان أقدمه لشركة التأمين، من فضلك ؟
306	corpus-6-train	EGY	علشان انا ضعيف في التصوير، متهيألي ان الكاميرات اللي بعدسات اوتوماتيك احسن لي.
307	corpus-6-train	EGY	هي ديه محطة القطر اللي رايح نيويورك؟
308	corpus-6-train	EGY	اتممنى لك اجازة سعيده.
312	corpus-6-train	EGY	من فضلك اديني شويه شاش.
313	corpus-6-train	EGY	عايز بطاطس مطبوخه مع عليها قشده حامضة، من فضلك .
314	corpus-6-train	EGY	أيوه، كل عشر دقايق .
315	corpus-6-test-corpus-26-train	EGY	ممكن واحد هامبرجر وواحد شيز برجر.
319	corpus-6-test-corpus-26-train	EGY	بتاخد كام في العملية؟
320	corpus-6-test-corpus-26-train	EGY	نحب ندفع تمن اكلنا .
322	corpus-6-train	EGY	انا ماشي بكره الصبح.
323	corpus-6-train	EGY	انا كمان رايح هناك، ايه رأيك ناخد التاكسي سوا؟
324	corpus-6-train	EGY	أتفضل اقعد و اعتبر نفسك في بيتك . تحب اجيبلك حاجه تشربها؟ شاى او حاجه ساقعه؟
325	corpus-6-train	EGY	جميل منك انك تقول كده .
326	corpus-6-test-corpus-26-train	EGY	المكان كان على كرسي في الطرقة.
327	corpus-6-train	EGY	ممكن من فضلك لحمة مشويه.
329	corpus-6-dev	EGY	امتى حتفضى ترابيزة؟
331	corpus-6-train	EGY	ينفع لسه أغير طلبي؟ انا عايز الدوفر سول بدل المحار الصخري .
333	corpus-6-test-corpus-26-test	EGY	من فضلك غيرلي الين اللي معايا بجنيهات.
336	corpus-6-train	EGY	ايه هى عمليه شيل الزايدة؟
338	corpus-6-train	EGY	ممكن تديني ايصالات بتفاصيل العلاج؟
346	corpus-6-test-corpus-26-train	EGY	عايز قاموس جيب صغير، ،لو سمحت .
349	corpus-6-train	EGY	اوكي، انا مش عارف .
350	corpus-6-train	EGY	الف مبروك، انا فهمت انك أترقيت لمنصب نائب رئيس .
351	corpus-6-train	EGY	بلليل بعد بكره .
352	corpus-6-train	EGY	انا عايش في جنوب اليابان.
353	corpus-6-train	EGY	من فضلك تذكرة رايح جاي لشيكاجو.
355	corpus-6-train	EGY	تحب تاخد مع البيض لحم خنزير مملح او لحم من فخذ الخنزير؟
358	corpus-6-train	EGY	للمذاكرة.
359	corpus-6-train	EGY	من فضلك بسرعة.
360	corpus-6-test-corpus-26-train	EGY	لشخصين الساعة سبعة . الاسم واتانابي.
364	corpus-6-train	EGY	التكييف مش شغال.
365	corpus-6-train	EGY	كل يوم اتنين بيبقى كده.
366	corpus-6-train	EGY	من فضلكم روحوا لصاله مغادرة المطار . تمنياتنا برحله سعيده.
367	corpus-6-train	EGY	فيه اى رحلات لباريس على خطوط يوروستار؟
368	corpus-6-test-corpus-26-train	EGY	ساعتي كانت سايكو رقميه.
369	corpus-6-train	EGY	انا اتخرجت كطبيب من اليابان.
370	corpus-6-test-corpus-26-train	EGY	يسعدنا نقدم ليكم المشروب اللي تختاروة، بعد الاكل . حتلاقو لسته كاملة بأنواع المشروبات اللي بنقدمها في رحلتنا موجوده في دليل المعلومات في مجلتنا.
373	corpus-6-test-corpus-26-test	EGY	انت عايش قريب من هنا؟
374	corpus-6-train	EGY	ممكن تبعته لليابان؟
375	corpus-6-test-corpus-26-train	EGY	فين محل الهدايا؟
379	corpus-6-train	EGY	ممكن ارد عليك الجمعه ديه؟
380	corpus-6-train	EGY	تمام، خليني اراجع قايمة المفقودات. الكاميرا نوعها ايه؟
381	corpus-6-train	EGY	انا اسف جدا جدا، احنا بنجهز الاوضه اللي انت طلبتها .
383	corpus-6-train	EGY	تمام، ده بتوريني محطات المترو و الاتوبيس . ممكن اخليه معايا؟
384	corpus-6-train	EGY	اه . .شابيزوكي واحشني.
386	corpus-6-test-corpus-26-test	EGY	انا عالطريق السريع جنب خليج مورو.
389	corpus-6-train	EGY	ايوه، عندنا . كورس نص يوم و كورس طول اليوم.
390	corpus-6-train	EGY	انا بأنصح بحلقان.
391	corpus-6-test-corpus-26-train	EGY	من فضلك عايز منبه .
392	corpus-6-train	EGY	من فضلك عايز الغي الحجز .
394	corpus-6-train	EGY	ايه نظام التعويض؟
397	corpus-6-train	EGY	النور مش شغال .
398	corpus-6-test-corpus-26-dev	EGY	بالمناسبه، اسمي هيوشي ايجيما .
400	corpus-6-train	EGY	ايه فرق التوقيت بين طوكيو و هنا؟
401	corpus-6-test-corpus-26-dev	EGY	القطر ده بيقف في محطة لاك فورست، مش كده؟
403	corpus-6-train	EGY	و كل ده بيكلف كام؟
404	corpus-6-train	EGY	شكرا، حضرتك .
405	corpus-6-train	EGY	امشي علطول و احود شمال عند تالت ناصيه .
407	corpus-6-train	EGY	عندي وجع شديد و جامد في معدتي .
408	corpus-6-test-corpus-26-train	EGY	معظم اليابانيين بياكلوا اخطبوط و سبيط .
411	corpus-6-train	EGY	شفت ده؟
412	corpus-6-train	EGY	ده هديه. ممكن تلفهولي لفه هدايا من فضلك؟
414	corpus-6-train	EGY	مساء الخير، مدام كينت . بقالي مده كبيرة ما شفتكيش .
416	corpus-6-test-corpus-26-train	EGY	ممكن من فضلك تذكرتين درجة تانية لشيكاجو؟
417	corpus-6-train	EGY	انا اللي شاكر .
