sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	SYR	موجود هنيك، قدام مكتب معلومات السياح بالزبط.
9	corpus-6-test-corpus-26-train	SYR	ما سمعت بهيك عنوان هون من قبل.
11	corpus-6-test-corpus-26-train	SYR	إمشي مباشرة لحد ما تشوف صيدلية.
26	corpus-6-test-corpus-26-train	SYR	بأديش الفطور؟
27	corpus-6-test-corpus-26-train	SYR	كيف فيني ساعدك؟
30	corpus-6-test-corpus-26-train	SYR	لف عالشمال بالدخلة التالتة.
50	corpus-6-test-corpus-26-train	SYR	بتحب كريما وسكر مع القهوة؟
64	corpus-6-test-corpus-26-train	SYR	ممكن تصرفلي هاد الشيك بقيمة ميتين دولار؟
74	corpus-6-test-corpus-26-train	SYR	إذا بين، اتصل فيني رجاءً.
86	corpus-6-test-corpus-26-train	SYR	وين القهوة؟
87	corpus-6-test-corpus-26-train	SYR	بدي كنزة أطفال.
91	corpus-6-test-corpus-26-train	SYR	أوك. هاد بكلف خمسة وتمانين سنت بالبريد العادي وزيادة تلاتة دولار بالظبط للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	SYR	لو كنت مكانك كنت اشتريته.
129	corpus-6-test-corpus-26-train	SYR	ممكن واجه صعوبة مع الجمارك؟
130	corpus-6-test-corpus-26-train	SYR	بلاقي عندك حذاء رسمي للرجلين العراض؟
140	corpus-6-test-corpus-26-train	SYR	لاء. ممكن اقترح وحدة لشخصين للاستخدام الفردي بدالها؟ عنا وحدة.
143	corpus-6-test-corpus-26-train	SYR	بدي كيرلي ضيق، إذا سمحت.
145	corpus-6-test-corpus-26-train	SYR	بدها بيرة.
157	corpus-6-test-corpus-26-train	SYR	صباح الخير. كيفك؟
158	corpus-6-test-corpus-26-train	SYR	للأسف أنا مضطر إني شوف شي بيثبت الهوية.
169	corpus-6-test-corpus-26-train	SYR	أي نوع صوص؟
170	corpus-6-test-corpus-26-train	SYR	هاد بارد شوي. ممكن تسخنه؟
173	corpus-6-test-corpus-26-test	SYR	بعتذر. هالمكان محجوز.
176	corpus-6-test-corpus-26-train	SYR	أنا منيح. بس في مجال تتصل برفيقي؟
177	corpus-6-test-corpus-26-test	SYR	شكراً. هيك بكفي.
184	corpus-6-test-corpus-26-train	SYR	مين أقرب صديق لئلك؟
187	corpus-6-test-corpus-26-train	SYR	يوم الصحة والرياضة بعشرة تشرين الأول هوة عطلة رسمية مخصصة للتوعية بتحسين صحة الشعب.
192	corpus-6-test-corpus-26-train	SYR	بدك افحص تحت الطبون؟
206	corpus-6-test-corpus-26-train	SYR	ممكن تساعدني لاقي شنتاية سفري؟
221	corpus-6-test-corpus-26-train	SYR	فيك تعمل الترتيبات سلفاً؟
238	corpus-6-test-corpus-26-train	SYR	في حدا عم يساعدني. شكراً.
261	corpus-6-test-corpus-26-train	SYR	وقت توصل لهنيك، اسآل حدا تاني، رجاءً.
280	corpus-6-test-corpus-26-train	SYR	اعطيني تحويلة أربع وعشرين لو سمحت.
285	corpus-6-test-corpus-26-train	SYR	هدول دولارين، وخلي الكمالة.
315	corpus-6-test-corpus-26-train	SYR	وحدة هامبرغر و وحدة تشيزبرغر، إذا سمحت.
319	corpus-6-test-corpus-26-train	SYR	أديش بتاخد عالاجراءات؟
320	corpus-6-test-corpus-26-train	SYR	كل واحد مننا بحب يدفع عن وجبته.
326	corpus-6-test-corpus-26-train	SYR	كان الموقع على كرسي بالردهة.
333	corpus-6-test-corpus-26-test	SYR	رجاءً حولي هدول الينات لجنيهات.
346	corpus-6-test-corpus-26-train	SYR	بدي قاموس حجمه صغير، لو سمحت.
360	corpus-6-test-corpus-26-train	SYR	"لشخصين عالساعة سبعة. الاسم هوة ""واتانابي""."
368	corpus-6-test-corpus-26-train	SYR	ساعتي. كانت سيكو ديجيتال.
370	corpus-6-test-corpus-26-train	SYR	بيسعدنا نقدملك الشراب يللي بتختاره، وبعده العشا. الدليل الكامل للمشروبات يللي منقدمها على هي الرحلة موجود بدليل المعلومات بمجلتنا.
373	corpus-6-test-corpus-26-test	SYR	ساكن قريب من هون؟
375	corpus-6-test-corpus-26-train	SYR	وين محل الهدايا؟
386	corpus-6-test-corpus-26-test	SYR	أنا على الأتوستراد واحد قريب من خليج مورو.
391	corpus-6-test-corpus-26-train	SYR	بدي ساعة منبه إذا بتريد.
398	corpus-6-test-corpus-26-dev	SYR	بالمناسبة، اسمي هيروشي ايجيما.
401	corpus-6-test-corpus-26-dev	SYR	هاد القطار بوقف بليك فورست، صح؟
408	corpus-6-test-corpus-26-train	SYR	أغلب اليابانيين بياكلوا أخطبوط و محار.
416	corpus-6-test-corpus-26-train	SYR	ممكن تعطيني تذكرتين درجة تانية على شيكاغو، إذا بتريد؟
419	corpus-6-test-corpus-26-train	SYR	رحت على نيويورك.
423	corpus-6-test-corpus-26-train	SYR	شو رقم الرحلة؟
442	corpus-6-test-corpus-26-test	SYR	واحد على نيويورك، إذا ممكن.
446	corpus-6-test-corpus-26-train	SYR	لمدة كم يوم.
447	corpus-6-test-corpus-26-train	SYR	التاني عاليسار.
471	corpus-6-test-corpus-26-dev	SYR	هاد الكرت، تمام؟
488	corpus-6-test-corpus-26-train	SYR	هاد مكتب الاستقبال؟ في عيادة قريبة؟
