sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	SAU	شوفه هناك، قدام مكتب المعلومات السياحية بالضبط.
9	corpus-6-test-corpus-26-train	SAU	ماقد سمعت بدا العنوان هنا.
11	corpus-6-test-corpus-26-train	SAU	امشي سيدا لين ما تلاقي الصيدلية.
26	corpus-6-test-corpus-26-train	SAU	بكم الفطور؟
27	corpus-6-test-corpus-26-train	SAU	كيف أقدر اساعدك؟
30	corpus-6-test-corpus-26-train	SAU	روح يسار عند الزواية الثالثة.
50	corpus-6-test-corpus-26-train	SAU	تبا كريم وسكر في قهوتك؟
64	corpus-6-test-corpus-26-train	SAU	ممكن تعطيني كاش للشيك دا الميتين دولار؟
74	corpus-6-test-corpus-26-train	SAU	اذا لازم يظهر، اتصل عليا لو سمحت.
86	corpus-6-test-corpus-26-train	SAU	فين المقهى؟
87	corpus-6-test-corpus-26-train	SAU	أبا سترة اطفال.
91	corpus-6-test-corpus-26-train	SAU	اوك. يكلف خمسة وتمانين سنت للأيميل العادي وزيادة تلاتة دولار بالضبط للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	SAU	لو أنا مكانك حشتريه.
129	corpus-6-test-corpus-26-train	SAU	ممكن اواجه صعوبات في الجمارك؟
130	corpus-6-test-corpus-26-train	SAU	عندك جزم رسمية واسعة عند الأصابع؟
140	corpus-6-test-corpus-26-train	SAU	لا. اقترحلك غرفة بسريرين لاستخدام شخص واحد بدال كدة؟ عندنا وحدة.
143	corpus-6-test-corpus-26-train	SAU	أبا شعري مجعد كثير، لو سمحت.
145	corpus-6-test-corpus-26-train	SAU	هيا تبا بيرة.
157	corpus-6-test-corpus-26-train	SAU	صباح الخير، كيفك؟
158	corpus-6-test-corpus-26-train	SAU	معليش لازم اشوف اثبات هوية.
169	corpus-6-test-corpus-26-train	SAU	اية نوع من الصوص؟
170	corpus-6-test-corpus-26-train	SAU	دا شوية بارد. ممكن تدفيه؟
173	corpus-6-test-corpus-26-test	SAU	معليش، دا المكان مأخود اصلا.
176	corpus-6-test-corpus-26-train	SAU	انا كويس، بس ممكن تدق على صاحبي؟
177	corpus-6-test-corpus-26-test	SAU	شكراً كدا كفأية.
184	corpus-6-test-corpus-26-train	SAU	مين أعز أصحابك؟
187	corpus-6-test-corpus-26-train	SAU	يوم الرياضة والصحة في عشرة أكتوبر هو أجازة وطنية عشان يثقفو الناس عن الصحة.
192	corpus-6-test-corpus-26-train	SAU	تباني اشيك تحت الكبوت؟
206	corpus-6-test-corpus-26-train	SAU	يمديك تدور معاية على شنطتي؟
221	corpus-6-test-corpus-26-train	SAU	حتسوي الترتيبات قبل؟
238	corpus-6-test-corpus-26-train	SAU	فيه واحد قاعد يساعدني، شكراً.
261	corpus-6-test-corpus-26-train	SAU	اذا وصلت هناك، باللهي اسأل شخص ثاني.
280	corpus-6-test-corpus-26-train	SAU	بالله ابغا امدد اربعة وعشرين.
285	corpus-6-test-corpus-26-train	SAU	دول دولارين، و خلي الباقي معاك.
315	corpus-6-test-corpus-26-train	SAU	بالله واحد برقر و واحد برقر جبن.
319	corpus-6-test-corpus-26-train	SAU	كم تطلب عشان العملية؟
320	corpus-6-test-corpus-26-train	SAU	نحن نبغا ندفع حساب اكلنا.
326	corpus-6-test-corpus-26-train	SAU	الموقع كان على الكرسي في اللوبي.
333	corpus-6-test-corpus-26-test	SAU	بالله غير الين الى جنيهات.
346	corpus-6-test-corpus-26-train	SAU	بالله ابغا قاموس قد الجيب.
360	corpus-6-test-corpus-26-train	SAU	شخصين ساعة سبعة، بإسم واتانابي.
368	corpus-6-test-corpus-26-train	SAU	ساعتي. كانت سأيكو رقمية.
370	corpus-6-test-corpus-26-train	SAU	من سعأدتنا انه نخدمك بالمشروبات من اختيارك، معاها عشاء. كل التوجيهات عن المشروبات اللي نقدمها موجودة في المجلة.
373	corpus-6-test-corpus-26-test	SAU	انتا عأيش هنا؟
375	corpus-6-test-corpus-26-train	SAU	فين محل الهدايا؟
386	corpus-6-test-corpus-26-test	SAU	انا في الطريق السريع قريب من خليج مورو.
391	corpus-6-test-corpus-26-train	SAU	أبا ساعة منبه، لو سمحت.
398	corpus-6-test-corpus-26-dev	SAU	بالمناسبة، اسمي هيروشي ايجيما.
401	corpus-6-test-corpus-26-dev	SAU	هادا القطار يوقف عند بحيرة فوريست، صح؟
408	corpus-6-test-corpus-26-train	SAU	اغلب اليابانين ياكلو الاخطبوط و الحبار.
416	corpus-6-test-corpus-26-train	SAU	بالله مداني اخذ تذكرتين في الدرجة الثانية على شيكاغو؟
419	corpus-6-test-corpus-26-train	SAU	رحت نيو يورك.
