sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	SUD	هو هناك، بالظبط أمام مكتب معلومات السياح.
9	corpus-6-test-corpus-26-train	SUD	ما حصل سمعت بالعنوان دا هنا.
11	corpus-6-test-corpus-26-train	SUD	أمشي دغري لغاية تشوف صيدلية.
26	corpus-6-test-corpus-26-train	SUD	بي كم الفطور؟
27	corpus-6-test-corpus-26-train	SUD	كيف ممكن اساعدك؟
30	corpus-6-test-corpus-26-train	SUD	أمشي شمال عند الكورنة التالتة.
50	corpus-6-test-corpus-26-train	SUD	داير كريمة و سكر في قهوتك؟
64	corpus-6-test-corpus-26-train	SUD	هل يمكنك تصرف شيكي البي متين دولار؟
74	corpus-6-test-corpus-26-train	SUD	اذا مفروض يظهر، من فضلك اتصل على.
86	corpus-6-test-corpus-26-train	SUD	وين المقهى؟
87	corpus-6-test-corpus-26-train	SUD	داير بلوفر أطفال.
91	corpus-6-test-corpus-26-train	SUD	اوكي. هو يكلف خمسة وتمنين سنت للبريد العادي و تلاتة دولارات بالظبط زيادة للتسليم الخاص.
120	corpus-6-test-corpus-26-test	SUD	كنت ح اشتري دا لو انا كنت مكانك.
129	corpus-6-test-corpus-26-train	SUD	ح أواجه أي صعوبات مع الجمارك؟
130	corpus-6-test-corpus-26-train	SUD	هل عندك جزمة رسمي عريضة عند اصابع القدم؟
140	corpus-6-test-corpus-26-train	SUD	لا. ممكن اقترح غرفة مزدوجة لاستعمال شخص؟ عندنا واحدة.
143	corpus-6-test-corpus-26-train	SUD	داير تجعيدة ضيقة، من فضلك.
145	corpus-6-test-corpus-26-train	SUD	دايرة بيرة.
157	corpus-6-test-corpus-26-train	SUD	صباح الخير. كيفك؟
158	corpus-6-test-corpus-26-train	SUD	آسف ح احتاج اشوف اثبات هوية.
169	corpus-6-test-corpus-26-train	SUD	ياتو نوع من الصوص؟
170	corpus-6-test-corpus-26-train	SUD	دا بارد شوية. ممكن تسخنه؟
173	corpus-6-test-corpus-26-test	SUD	معليش، المكان دا محجوز.
176	corpus-6-test-corpus-26-train	SUD	انا تمام. بس ممكن تتصل ب صحبى؟
177	corpus-6-test-corpus-26-test	SUD	شكرا، دا كفاية.
184	corpus-6-test-corpus-26-train	SUD	منو صحبك المفضل؟
187	corpus-6-test-corpus-26-train	SUD	يوم الصحة والرياضة العاشر من أكتوبر هو عطلة قومية مصممة لتحسين صحة الناس.
192	corpus-6-test-corpus-26-train	SUD	هل انت دايرني اتحقق تحت غطا العربية؟
206	corpus-6-test-corpus-26-train	SUD	هل ممكن تساعدني ألقى شنطتي؟
221	corpus-6-test-corpus-26-train	SUD	هل ممكن تعمل ترتيبات مقدما؟
238	corpus-6-test-corpus-26-train	SUD	في زول بيساعدني. شكرا ليك.
261	corpus-6-test-corpus-26-train	SUD	لمن تصل هناك، اسأل زول تاني، من فضلك.
280	corpus-6-test-corpus-26-train	SUD	داير تمديد أربعة وعشرين ساعة، من فضلك.
285	corpus-6-test-corpus-26-train	SUD	ديل دولارين. اخد الباقي.
315	corpus-6-test-corpus-26-train	SUD	هامبرقر واحد و واحد بيرقر بالجبنة، من فضلك.
319	corpus-6-test-corpus-26-train	SUD	كم من السعر بتطلب للعملية؟
320	corpus-6-test-corpus-26-train	SUD	نحن كلنا دايرين ندفع لي وجباتنا.
326	corpus-6-test-corpus-26-train	SUD	الموقع كان في كرسي في اللوبي.
333	corpus-6-test-corpus-26-test	SUD	من فضلك حول هذه الينات إلى جنيهات.
346	corpus-6-test-corpus-26-train	SUD	داير دكشنري مقاس جيب، من فضلك.
360	corpus-6-test-corpus-26-train	SUD	لنفرين عند السابعة. الاسم واتانيبل.
368	corpus-6-test-corpus-26-train	SUD	ساعتي. كانت سيكو ديجيتال.
370	corpus-6-test-corpus-26-train	SUD	ح يكون متعتنا ان نخدمك بمشروب من اختيارك، مصحوب بي عشاء. دليل كامل من المشروبات البنوفرها في الرحلة دي موجودة في دليل المعلومة بتاع مجلتنا.
373	corpus-6-test-corpus-26-test	SUD	انت ساكن بي هنا؟
375	corpus-6-test-corpus-26-train	SUD	وين دكان دكان الهدايا؟
386	corpus-6-test-corpus-26-test	SUD	انا في الطريق السريع جنب مورو بي.
391	corpus-6-test-corpus-26-train	SUD	داير لي ساعة تنبيه، من فضلك.
398	corpus-6-test-corpus-26-dev	SUD	بالمناسبة، اسمي هيروشي ايجيما.
401	corpus-6-test-corpus-26-dev	SUD	القطر دا بقيف في ليك فورست، ول لا؟
408	corpus-6-test-corpus-26-train	SUD	معظم اليابانيين بياكلوا اخطبوط و حبار.
416	corpus-6-test-corpus-26-train	SUD	ممكن اخد تذكرين درجة تانية الي شيكاغو، من فضلك؟
419	corpus-6-test-corpus-26-train	SUD	مشيت نيويورك.
423	corpus-6-test-corpus-26-train	SUD	رقم الرحلة كم؟
442	corpus-6-test-corpus-26-test	SUD	واحد إلى نيويورك، من فضلك.
446	corpus-6-test-corpus-26-train	SUD	لحوالي أيام قليلة.
447	corpus-6-test-corpus-26-train	SUD	التاني على الشمال.
471	corpus-6-test-corpus-26-dev	SUD	الكرت دا، تمام؟
488	corpus-6-test-corpus-26-train	SUD	دا مكتب الاستقبال؟ في عيادة قريبة؟
493	corpus-6-test-corpus-26-train	SUD	هل عشرة دولارات كفاية للتكسي؟
503	corpus-6-test-corpus-26-train	SUD	دا طعموا غريب.
512	corpus-6-test-corpus-26-train	SUD	أي. انتظر، بجيب ليك واحد.
516	corpus-6-test-corpus-26-train	SUD	نص قارورة، من فضلك.
540	corpus-6-test-corpus-26-train	SUD	ما حقيقة. بس حاجة ما غالية.
548	corpus-6-test-corpus-26-train	SUD	بتفتش لحاجة؟
551	corpus-6-test-corpus-26-train	SUD	أربعة ليالي.
553	corpus-6-test-corpus-26-train	SUD	داير بعض الجوارب.
565	corpus-6-test-corpus-26-train	SUD	ممكن تخليه ارخص لان هناك بعض البقع؟
571	corpus-6-test-corpus-26-train	SUD	رجل صدمني. بعد داك لاحظت ان محفظتي ذهبت.
599	corpus-6-test-corpus-26-train	SUD	انا ما متأكد اذا حزمت ملابس كافية لي رحلة تلاته اسابيع.
612	corpus-6-test-corpus-26-train	SUD	طيب، دايرين نجرب خمرة بيضاء.
631	corpus-6-test-corpus-26-train	SUD	اذا في زول سأل عني، كلمهم اني في المقهى.
632	corpus-6-test-corpus-26-train	SUD	متأكد أنه عندي في الجيب الداخلي بتاع الجاكيت بتاعي.
641	corpus-6-test-corpus-26-test	SUD	ممكن اعرف الاسم و الرقم بتاع الشخص الانت متصل ليه؟
643	corpus-6-test-corpus-26-train	SUD	هل الخطوط الجوية ح تدفع لي عشان اشتري بعض الضروريات الشخصية؟
650	corpus-6-test-corpus-26-train	SUD	داير لي غرفة بحمام.
652	corpus-6-test-corpus-26-dev	SUD	ما في حاجة جات طالعة من الآلة؟
667	corpus-6-test-corpus-26-test	SUD	كان مفترض تاخد الرحلة تمانية اتنين صفر، الأقلعت قبل خمستاشر دقيقة. كلو تمام. ممكن أنظم رحلة ثانية.
673	corpus-6-test-corpus-26-train	SUD	زول فك حزمتي.
679	corpus-6-test-corpus-26-test	SUD	اوه، ولا حاجة. انت هنا، على كل حال.
680	corpus-6-test-corpus-26-train	SUD	الخطوط الجوية اليابانية، رحلة رقم واحد اتنين تلاتة.
681	corpus-6-test-corpus-26-train	SUD	محتاج اشتري شامبوه.
683	corpus-6-test-corpus-26-train	SUD	ممكن تكلمني لم نصل الي مركز مدني؟
688	corpus-6-test-corpus-26-train	SUD	وين أقرب جزار؟
703	corpus-6-test-corpus-26-train	SUD	دايرين نقعد أربعة ليالي من الأول من أغسطس.
708	corpus-6-test-corpus-26-train	SUD	اسم الزهرة ديك شنو؟
719	corpus-6-test-corpus-26-train	SUD	خمستشار سبتمبر هو يوم احترام للمسنين.
723	corpus-6-test-corpus-26-train	SUD	ما في صابون في غرفتي.
741	corpus-6-test-corpus-26-dev	SUD	هل هناك اي شي ممكن اخده للطفح دا؟
742	corpus-6-test-corpus-26-train	SUD	هل يمكنك تغير الصيغة الي القلته الان؟
761	corpus-6-test-corpus-26-test	SUD	ح تستغرق كم للطلب؟
773	corpus-6-test-corpus-26-train	SUD	ممكن تتكلم أعلى شوية، من فضلك؟
777	corpus-6-test-corpus-26-train	SUD	كم من الزمن ح يكون قبل يطلع؟
786	corpus-6-test-corpus-26-train	SUD	وين معلومات الرياضات؟
787	corpus-6-test-corpus-26-train	SUD	المقاس دا هنا، الواحد المسميه مقاس منتظم، ح يعمل.
793	corpus-6-test-corpus-26-test	SUD	وين الجولة ح تنتهي، و متين؟
848	corpus-6-test-corpus-26-train	SUD	وين مفترض اغير القطار عشان اوصل ادينبيره؟
855	corpus-6-test-corpus-26-train	SUD	داير اخت دا في صندوق ايداع امن.
859	corpus-6-test-corpus-26-train	SUD	وين ممكن أبدل قروش؟
897	corpus-6-test-corpus-26-train	SUD	ممكن نخلي حاجاتتا، عدا القيمة، في البص؟
902	corpus-6-test-corpus-26-train	SUD	محتار الرسوم دي في تلفوني لي شنو.
917	corpus-6-test-corpus-26-train	SUD	ح ادفع خمسين دولار.
941	corpus-6-test-corpus-26-train	SUD	الآن عرفت الكان غلط شنو.
957	corpus-6-test-corpus-26-dev	SUD	انا ايكيدا. عندي حجز لطربيزة عند الساعة ستة و نص المساء دا. لكن انا آسف ح اوصل نص ساعة متأخر.
1003	corpus-6-test-corpus-26-train	SUD	كم أوقية من العطر ممكن أحصل عليها بدون جمارك؟
1007	corpus-6-test-corpus-26-train	SUD	بس سياحة.
1010	corpus-6-test-corpus-26-train	SUD	تمام. من فضلك وقعهم. دايرو كيف؟
1023	corpus-6-test-corpus-26-test	SUD	هل ما زلت عندك؟
1036	corpus-6-test-corpus-26-train	SUD	داير واحد كبير.
1037	corpus-6-test-corpus-26-dev	SUD	نمت خلال منبه الستة و نص.
1038	corpus-6-test-corpus-26-train	SUD	انا مصور حر.
1047	corpus-6-test-corpus-26-train	SUD	التجار ممكن يحاولوا دولاراتك إلى قطع الكازينو؟
1056	corpus-6-test-corpus-26-dev	SUD	عندنا حوالي تلاتين نوع من صابون الحمام.
1062	corpus-6-test-corpus-26-train	SUD	ح يكون عندي ليك الاقتراح الأسبوع الجاي.
1074	corpus-6-test-corpus-26-train	SUD	شكرا ليك. كم سعر القفازات دي؟
1098	corpus-6-test-corpus-26-train	SUD	على أن أمشي. ح اتصل بيك لاحقا.
1100	corpus-6-test-corpus-26-train	SUD	داير بعض الحفاظات الممكن التخلص منها.
1122	corpus-6-test-corpus-26-train	SUD	من وين أصل سمك الفراشات ده؟
1124	corpus-6-test-corpus-26-train	SUD	ح تحولهم لي دولارات، من فضلك؟
1139	corpus-6-test-corpus-26-train	SUD	نحن محظوظين جدا. عندهم واحد مقاس أربعة في متجر ال ألا موانا.
1146	corpus-6-test-corpus-26-train	SUD	هل هنالك أي ليموزين؟
1163	corpus-6-test-corpus-26-dev	SUD	هل ممكن احصل على مكالمة إيقاظ عند خمسة و تلاتين بكرة الصباح؟
1165	corpus-6-test-corpus-26-train	SUD	بفضل غرفة هادية.
1167	corpus-6-test-corpus-26-train	SUD	در بعض مزيل طلاء الأظافر.
1183	corpus-6-test-corpus-26-train	SUD	داير بطارية.
1193	corpus-6-test-corpus-26-test	SUD	هل هناك فرقة لايف ول دي جي؟
1194	corpus-6-test-corpus-26-train	SUD	هل يمكنني تأجير بعض معدات الغطس؟
1199	corpus-6-test-corpus-26-dev	SUD	داير احجز غرفة لأربعة ليالي من التاني والعشرين من ديسمبر.
1212	corpus-6-test-corpus-26-train	SUD	هل هذه الحقيبة مثالية لكل طقس؟
1213	corpus-6-test-corpus-26-train	SUD	داير دونات، من فضلك.
1218	corpus-6-test-corpus-26-train	SUD	داير أأجر عربية اوتوماتيك ليومين.
1224	corpus-6-test-corpus-26-train	SUD	فوت الرحلة عشرين إلى سان فرانسيسكو.
1234	corpus-6-test-corpus-26-train	SUD	كم للمطار؟
1235	corpus-6-test-corpus-26-train	SUD	داك جيد. متين؟
1276	corpus-6-test-corpus-26-train	SUD	كم عمر بنتك؟
1312	corpus-6-test-corpus-26-train	SUD	ممكن تكلمني ببعض الفنادق الرخيصة و النضيفة؟
1321	corpus-6-test-corpus-26-train	SUD	ممكن نحجز ليك غرفة مريحة في قصر قديم قرب نادي قولف مشهور.
1329	corpus-6-test-corpus-26-train	SUD	بزكي دا لأنه مصنوع من مية في المية مكونات طبيعية.
1361	corpus-6-test-corpus-26-dev	SUD	هل يتوقف القطر في برايتون؟
1369	corpus-6-test-corpus-26-train	SUD	ممكن تكلمني وين ممكن ألقى تكسي؟
1375	corpus-6-test-corpus-26-train	SUD	تزكرتين درجة ثانية، من فضلك.
1384	corpus-6-test-corpus-26-train	SUD	داير أرسل فاكس.
1394	corpus-6-test-corpus-26-train	SUD	داير حديد ترحال.
1396	corpus-6-test-corpus-26-train	SUD	ممكن أقدم ليك أي حاجة؟
