sentID.BTEC	split	lang	sent
0	corpus-6-train	MOR	كاين في اللاخر ديال هاد القاعة. انجيب ليك شويا دابا. و إلا حتاجيتي شي حاجا اخرى، قولها ليا.
2	corpus-6-train	MOR	واش كا دير التعديلات؟
4	corpus-6-train	MOR	بغينا ناخدو طابلة حدا الشرجم.
5	corpus-6-test-corpus-26-train	MOR	راه تما، مقابل مكتب استعلامات السياح بالضبط.
9	corpus-6-test-corpus-26-train	MOR	ما عمري سمعت هاد العنوان هنايا.
11	corpus-6-test-corpus-26-train	MOR	سير نيشان حتا تشوف صيدلية.
12	corpus-6-train	MOR	شنو هو اجدد لون هاد الموسم؟
14	corpus-6-train	MOR	في الحالة ديالي، راه غالبا على الخدمة، قليل للمتعة.
15	corpus-6-train	MOR	غادي نبقا يومين.
16	corpus-6-train	MOR	بغيت بيرمانونت مجهد.
17	corpus-6-train	MOR	بغيت نحجز جوج غرف ثنائية.
18	corpus-6-train	MOR	ما بغيتهوش منزوع.
19	corpus-6-train	MOR	واش كا يحبس هاد الطوبيس في شارع ستونر؟
24	corpus-6-train	MOR	حل فمك مزيان عافاك.
26	corpus-6-test-corpus-26-train	MOR	شحال كا يدير الفطور؟
27	corpus-6-test-corpus-26-train	MOR	كيفاش نقدر نعاونك؟
29	corpus-6-train	MOR	يالاه ناخدو شي حاجة ناكلوها.
30	corpus-6-test-corpus-26-train	MOR	مع القنت التالت دور على ليسر.
31	corpus-6-train	MOR	واخا تغسل هاد لحوايج؟
37	corpus-6-dev	MOR	غادي نعطيك رقم التلفون و العنوان ديالو.
38	corpus-6-train	MOR	خلصت الماكلة و الأوطيل مسبقاً.
40	corpus-6-train	MOR	كا نقلب على شي مطعم زوين، وهادئ من نوع الشوا. واخا توريهم في هاد الخريطة؟
42	corpus-6-train	MOR	الا هرسته، خاصك تشريه.
46	corpus-6-train	MOR	غادي نقول ليها تعيط ليك منين ترجع.
50	corpus-6-test-corpus-26-train	MOR	واش تبغي لاكريم و السكر في القهوة ديالك؟
51	corpus-6-train	MOR	راها مضروبة بزاف.
52	corpus-6-train	MOR	بغيت بريكا.
53	corpus-6-train	MOR	واش هاد الأوطيل فيه تجهيزات ديال المؤتمرات؟
56	corpus-6-train	MOR	واش ماشي مشكل ناخدو غير وجبة خفيفة؟
57	corpus-6-train	MOR	كا نعيط من المطار. غادي نكون تما معا الربعة تقريباً.
62	corpus-6-train	MOR	منين نحول لشيكاغو؟
63	corpus-6-train	MOR	بشحال نقدر نصيفط رسالة مسجلة لفرنسا؟
64	corpus-6-test-corpus-26-train	MOR	تقدر تخلص الشيك ديالي ديال ميتين دولار؟
68	corpus-6-train	MOR	السياقة مختالفة بزاف من الجنب ليمن ديال الزنقة.
69	corpus-6-train	MOR	الممثل واعر بزاف.
72	corpus-6-train	MOR	فين هو القسم ديال الكتاب الواقعي؟
74	corpus-6-test-corpus-26-train	MOR	إلا خصو يبان، عيط ليا عفاك.
78	corpus-6-dev	MOR	تقدر تبدل ليا البلاصة عفاك؟
79	corpus-6-train	MOR	واش كاين شي ضمانة؟
83	corpus-6-train	MOR	سمح ليا، غادي نتهلا في الكلب.
84	corpus-6-train	MOR	بغيت جوج وراق ل''كاتس ''، لهاد الخميس.
86	corpus-6-test-corpus-26-train	MOR	فين القهوة؟
87	corpus-6-test-corpus-26-train	MOR	بغيت تريكو ديال الدراري الصغار.
89	corpus-6-dev	MOR	شنو سميتك مرة خرا؟
90	corpus-6-train	MOR	واش كاين مستر براون؟
91	corpus-6-test-corpus-26-train	MOR	واخا. كايدير خمسة و تمانين دولار للبريد العادي و تلاتة دولار بالضبط زيادة للتوصيل الخاص.
92	corpus-6-train	MOR	نقدر نكري باطو لنهار؟
93	corpus-6-train	MOR	في إينا شرجم نقدر نحجز؟
94	corpus-6-train	MOR	شنو هوا هاذا؟
96	corpus-6-train	MOR	تقدر تقول ليا منين نمشي للأوبيرا؟
97	corpus-6-train	MOR	ماكنتيش شويا سكران لبارح، أحبيبي؟
98	corpus-6-train	MOR	عفاك تبع التعليمات ديال الطاقم ديالنا.
100	corpus-6-dev	MOR	واش كاين شي متجر شامل قريب من هنا؟
102	corpus-6-train	MOR	عمر، عافاك.
103	corpus-6-train	MOR	واش كاينا شي غرفة أرخص؟
104	corpus-6-train	MOR	كا نفضل سيارة اوطوماتيك.
105	corpus-6-train	MOR	غادي نبقا في السكن الداخلي ديال جامعة هارفرد.
106	corpus-6-train	MOR	شنو هوا المعدل ديال هاد النهار؟
108	corpus-6-train	MOR	كا نعاني من مرض الضيقة المزمنة.
109	corpus-6-train	MOR	عندي تقريباً تلاتة آلاف دولار.
111	corpus-6-train	MOR	واخا، أسيدي. كا يجي معا فريت أو الروز. إينا واحد تبغي؟
112	corpus-6-train	MOR	كيفاش نقدر نمشي لهاد لبلاصة؟
113	corpus-6-train	MOR	إينا نوع ديال القصة هذا؟
115	corpus-6-train	MOR	تلاتة ديال المرات.
116	corpus-6-train	MOR	إينا شرجم كاي بيع التنابر؟
117	corpus-6-train	MOR	من بعد ما هجم عليا، هرب في سيارة بيضا.
119	corpus-6-train	MOR	واخا. خلي عندك هاد البطاقة و قدمها منين تبغي تجي تديه.
120	corpus-6-test-corpus-26-test	MOR	كون كنت فبلاصتك كون شريتو.
122	corpus-6-train	MOR	ألفين دولار. فلوس ولا بطاقة بنكية؟
125	corpus-6-train	MOR	بشحال الركبة فداك الضاية؟
128	corpus-6-train	MOR	واش خصني نتجنب شي نوع ديال الماكلة فاش ناكل هاد الدوا؟
129	corpus-6-test-corpus-26-train	MOR	واش غادي نلقا شي صعوبة مع الديوانا؟
130	corpus-6-test-corpus-26-train	MOR	واش عندك صبابط رسمية واسعة عند الصبع؟
131	corpus-6-train	MOR	ممكن تعطيني شي مشروب؟
133	corpus-6-train	MOR	منين نوصلو للمتحف قولها ليا.
134	corpus-6-dev	MOR	واش هاد الطوبيس كايمشي لأوطيل الشيراطون؟
135	corpus-6-dev	MOR	شنو كاي عني داكشي؟
136	corpus-6-dev	MOR	كاين الصهد شوية. واش نقدر نحل الشرجم؟
138	corpus-6-train	MOR	غير الدوش ماشي مشكل.
139	corpus-6-dev	MOR	عيني حمرين بزاف.
140	corpus-6-test-corpus-26-train	MOR	لا. نقدر نقتارح ثنائية لواحد؟ عندنا وحدة.
142	corpus-6-dev	MOR	منقدرش نضمن هادشي، ولكن غادي نديرو جهدنا.
143	corpus-6-test-corpus-26-train	MOR	بيرمانونت مجهد، عافاك.
144	corpus-6-train	MOR	البحر كان كاي بان لتحت .
145	corpus-6-test-corpus-26-train	MOR	بغات بيرا.
146	corpus-6-train	MOR	خاصك عملية.
147	corpus-6-train	MOR	زيدني البيض، عفاك.
148	corpus-6-train	MOR	فين هيا محطة الطوبيس ديال سنطرال بارك؟
149	corpus-6-train	MOR	طاكسي؟
151	corpus-6-train	MOR	ها هو الساروت ديالك أسيدي. الغرفة خمسالاف و ستميا و طناش.
153	corpus-6-train	MOR	عجبني التريكو ديالك.
154	corpus-6-train	MOR	تفضل.
155	corpus-6-train	MOR	ها حنا وصلنا. ها هو الأوطيل ديالك.
156	corpus-6-dev	MOR	وقتاش الماتش ديال الباسكيط؟
157	corpus-6-test-corpus-26-train	MOR	صباح الخير. كي داير؟
158	corpus-6-test-corpus-26-train	MOR	سمح ليا خصني نشوف شي وثيقة ديال الهوية.
159	corpus-6-train	MOR	شنو كان الإنطباع ديالك؟
160	corpus-6-train	MOR	معلوم. تبغي القهوة ديالك معا العشا ولا من بعد؟
161	corpus-6-train	MOR	غادي ناخد الرحلة طناش لطوكيو.
162	corpus-6-train	MOR	بغيت ندير مكالمة بعيدة، عفاك.
163	corpus-6-train	MOR	خمس شهور.
168	corpus-6-train	MOR	ف إينا نهارات كا تكون؟
169	corpus-6-test-corpus-26-train	MOR	إينا نوع ديال الصوص؟
170	corpus-6-test-corpus-26-train	MOR	هادشي بارد شوية. واخا تسخنو؟
172	corpus-6-train	MOR	بغيت شي جيل ديال الشعر.
173	corpus-6-test-corpus-26-test	MOR	سمح ليا. هاد البلاصة عامرة.
174	corpus-6-train	MOR	نقدرو نشوفو شي قايمة ديال الماكلة؟
175	corpus-6-train	MOR	قياسي هوا ستا.
176	corpus-6-test-corpus-26-train	MOR	انا بخير. و لكن واش تقدر تعيط لصاحبي؟
177	corpus-6-test-corpus-26-test	MOR	شكراً. باراكا.
178	corpus-6-train	MOR	حتا طاكسي ماغادي يوقف حتا تسناه في المحطة ديال الطاكسيات.
179	corpus-6-train	MOR	الميزانية ديالي أقل من خمسين دولار في الليلة.
180	corpus-6-train	MOR	واخا تاخد تصويرة معايا؟
181	corpus-6-train	MOR	شحال كادير هاد الخدمة؟
182	corpus-6-train	MOR	واش المبيعات فأمريكا الشمالية زايدة باكثر من خمسة فالمائة؟
184	corpus-6-test-corpus-26-train	MOR	شكون هوا اقرب صديق ديالك؟
186	corpus-6-train	MOR	واش فخبارك بلي واحد من أكبر أبطال السومو، نوع من القتال الياباني التقليدي للمصارعة، ميريكاني؟
187	corpus-6-test-corpus-26-train	MOR	يوم الصحة والرياضة عشرة اكتوبر هو عيد وطني مديور على قبل صحة الناس.
188	corpus-6-train	MOR	واش هادا ديال وول ستريت؟
189	corpus-6-train	MOR	بغيت نكريه من خمسة حتال عشرة ديسمبر.
191	corpus-6-train	MOR	واخا. و أنتي، أ لالة؟
192	corpus-6-test-corpus-26-train	MOR	واش بغيتيني نقلب تحت الكوفر؟
195	corpus-6-train	MOR	السكر؟
196	corpus-6-train	MOR	واش نقدر نخلص ب ماسطر كارظ؟
198	corpus-6-train	MOR	واش من هنا كا يهزو الامتعة ديال ان دبليو تسعود صفر سبعة؟
199	corpus-6-train	MOR	غادي ناخد هاد الماركة.
204	corpus-6-train	MOR	انا فرحان بزاف حيت قدرت نجي لهاد البلاد.
205	corpus-6-train	MOR	سميتي و العنوان ديالي راه فيها.
206	corpus-6-test-corpus-26-train	MOR	واخا تعاوني نقلب على الباليزا ديالي؟
207	corpus-6-dev	MOR	إينا نوع ديال الحجر هادا؟
208	corpus-6-train	MOR	بغيت نشير على أن الحكومة ديالنا قاصحة مع الناس المدعوون لاجئي القوارب. لاحظت بلي اليابان أصلاً مكتضة بالناس بزاف باش تخلي هاد الضياف لي ما عرض عليهم حتى حد يخلو. و لكن، من جهة اخرى، بزاف ديال الميادين الصناعية ديالنا محتاجة لمصادر اليد العاملة.
209	corpus-6-train	MOR	من الجبل، تقدر تشوف المدينة كاملة، غير فهاد الموسم هادا، أنواع كثيرة من الأزهار كاتكبر، و كايكونو زوينين بزاف.
213	corpus-6-train	MOR	تبعني.
217	corpus-6-train	MOR	عافاك قول ليه ياماضا عيطات.
221	corpus-6-test-corpus-26-train	MOR	واخا دير الترتيبات مسبقاً؟
224	corpus-6-train	MOR	واخا. عافاك عمر هاد المعلومات هنا. واش كانت حقيبة وحدة؟
225	corpus-6-train	MOR	شنو تبغي، اللحم، الدجاج ولا الحوت؟
227	corpus-6-train	MOR	واش ممكن أخد طريق مختالفة في المشي و المجي؟
228	corpus-6-train	MOR	واش كاين شي سناك بار هنايا؟
229	corpus-6-dev	MOR	سمح ليا، أ سيدي . بغيت ندير شي سياحة في بوسطن.
232	corpus-6-train	MOR	واش عندك قايمة ديال الماكلة باليابانية؟
235	corpus-6-train	MOR	هادي الوحدا و قسم.
238	corpus-6-test-corpus-26-train	MOR	كاين لي معاوني. شكراً.
239	corpus-6-train	MOR	بغيت شي مهدئ.
240	corpus-6-train	MOR	شكون هيا الممثلة المفضلة ديالك؟
241	corpus-6-train	MOR	بغيت شي واحد بيضوي.
242	corpus-6-train	MOR	إينا نوع ديال الموسيقا كاي ديرو تما؟
243	corpus-6-train	MOR	ماعجبنيش اللون. وريني واحد آخر، عافاك.
246	corpus-6-train	MOR	عافاك ديني للسوق ديال الصباح.
248	corpus-6-train	MOR	الإطار ديال نضاضري تهرس.
250	corpus-6-train	MOR	من التلاثة بيلا.
252	corpus-6-train	MOR	مزيان. عندي بلاصة ديال الشرجم. أوه، إيلا بغيتي تبادلي بالبلايص من بعد، ألالة.
255	corpus-6-train	MOR	عجبني السياحة في نيويورك البارح.
256	corpus-6-dev	MOR	انا مهتم بالصاك لي في الشرجم.
258	corpus-6-train	MOR	تاصل بمول الشي إيلا عندك أي مشكل.
259	corpus-6-train	MOR	عطيني شمبوان و قادو كيف ما هو دابا، عافاك.
261	corpus-6-test-corpus-26-train	MOR	منين توصل تما سول شي واحد آخر عافاك.
263	corpus-6-train	MOR	عافاك قول ليا اسرع طريق ل سان فرانسيسكو.
267	corpus-6-train	MOR	واخا تعطيني الساروت ديال الغرفة مياتاين و خمصطاش؟
268	corpus-6-train	MOR	سمح ليا. واخا تصورني عافاك؟
269	corpus-6-train	MOR	غير اكتب رقم الغرفة ديالك و سيني هنايا.
