sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	YEM	هوذاك هاناك، قبال مكتب المعلومات السياحيه بالضبط.
9	corpus-6-test-corpus-26-train	YEM	ماقد سمعتش ابدا بهذا العنوان هانا.
11	corpus-6-test-corpus-26-train	YEM	امشي طوالي لوما تبسر صيدليه.
26	corpus-6-test-corpus-26-train	YEM	بكم هو الصبوح؟
27	corpus-6-test-corpus-26-train	YEM	كيف اقدر اساعدك؟
30	corpus-6-test-corpus-26-train	YEM	اخطى يسار عند الركن الثالث.
50	corpus-6-test-corpus-26-train	YEM	تشتي كريمه وسكر في القهوة؟
64	corpus-6-test-corpus-26-train	YEM	تقدر تصرف لي شيك الميتين الدولار؟
74	corpus-6-test-corpus-26-train	YEM	اذا لازم يظهر، لو سمحت اتصل لي.
86	corpus-6-test-corpus-26-train	YEM	اين هو الكافيه؟
87	corpus-6-test-corpus-26-train	YEM	أشتي سترة أطفالي.
91	corpus-6-test-corpus-26-train	YEM	تمام. يكلف خمسه وثمانين سنت للبريد العادي و ثلاثه دولار بالضبط زياده للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	YEM	شا اشتري ذيه لو كنت مكانك.
129	corpus-6-test-corpus-26-train	YEM	هل شا اواجه مشاكل مع الجمارك؟
130	corpus-6-test-corpus-26-train	YEM	به معك جزمه رسميه واسعه عند الاصابع؟
140	corpus-6-test-corpus-26-train	YEM	لا. ممكن اقترح عليك غرفة مزدوجة ل استخدام فرد بدله؟ عندنا واحدة.
143	corpus-6-test-corpus-26-train	YEM	اشتي تجعيد قوي، لو سمحت.
145	corpus-6-test-corpus-26-train	YEM	هي تشتي بيره.
157	corpus-6-test-corpus-26-train	YEM	صباح الخير. كيف حالك؟
158	corpus-6-test-corpus-26-train	YEM	أسف مضطر اطلب منك تبرز اي شي يثيت هويتك.
169	corpus-6-test-corpus-26-train	YEM	ما هو نوع الصوص؟
170	corpus-6-test-corpus-26-train	YEM	هذا بارد شويه. عتحميه؟
173	corpus-6-test-corpus-26-test	YEM	أسف، هذه البقعه قدي محجوزه.
176	corpus-6-test-corpus-26-train	YEM	أنا بخير. لكن ممكن تتصل لصاحبي؟
177	corpus-6-test-corpus-26-test	YEM	شكرا، ذيه كفايه.
184	corpus-6-test-corpus-26-train	YEM	من هو أعز أصحابك؟
187	corpus-6-test-corpus-26-train	YEM	يوم الصحة والرياضه عشره اكتوبر هو اجازه وطنيه عملوها عسب يشجعو الناس يهتمو بصحتهم.
