MSA,Algerian,lang
" ذهب خالد إلى المطعم وطلب محار الصخر. بعد لحظات من التفكير، سأل النادل ""هل لازال متاح لي أن أغير طلبي؟ أفضل سمك موسى بدلا من محار الصخر."" ابتسم النادل وأكد له أنه يمكن تغيير الطلب. شعر خالد بالسعادة وتطلع لتذوق سمك موسى الشهي. "," خالد مشى للمطعم وطلب محار الصخر. واحد اللحظة من التفكير، قال للقرسون ""واش راك تحكم، نقدر نبدل طلبي ولا لا؟ راني نفضل سمك موسى على محار الصخر."" القرسون تبسم وقالو عادي تبدل طلبك. خالد فرح وقعد يتسنى في سمك موسى. ",Algerian
" في يوم حار من أيام الصيف، دخل العم أحمد متجر الصرافة حاملاً يداً من الدولارات. طلب من الصراف تحويلها إلى جنيهات مصرية قائلاً ""من فضلك غير هذه الينات إلى جنيهات"". بابتسامته المعهودة، قام الصراف بعملية التحويل بسرعة وكفاءة. شكر العم أحمد الصراف وخرج من المتجر وقد ارتسمت على وجهه ابتسامة الرضا. "," فوقت شاطح من الصيف، الحاج أحمد دخل لمحل تبديل الفلوس وهو يشيل بوقالة دولارات. قال للصراف ""عافاك غيرلي هاذي الدولارات لدينارات"". الصراف بتبسمو اللي عادتنا عليه، درب العملية ديال التبديل بلا مطروف. الحاج أحمد شكر الصراف وخرج من المحل وعلى وجهو ابتسامة التهناية. ",Algerian
 أجرى الطبيب عملية استئصال الزائدة الدودية بنجاح. بعد العملية، استراح المريض في غرفته وكانت حالته تتحسن تدريجيًا. خلال فترة التعافي، حرص الطاقم الطبي على رعايته بشكل ممتاز. وأخيرًا، غادر المريض المستشفى بصحة جيدة وشعور بالامتنان العميق. , الدكتور دار عملية لقطع الزائدة الدودية وربحها. بعد العملية، المريض استراح في بيتو وحالتو كانت تتحسن بالتدريج. طول مدة الشفاء، طاقم الطب كانوا يعتنو بيه مليح. وفي الآخر، خرج المريض من السبيطار بصحة مليحة وبشكر كبير. ,Algerian
 ذهب محمد إلى المستشفى ليستلم فواتير علاجه الطبي. سأل الطبيب إذا ما كانت الفواتير تشمل كل التفاصيل. أكد الطبيب أن كل شيء موثق بدقة. شعر محمد بالارتياح لأنه سيتمكن من تقديم الوثائق لشركة التأمين. , محمد راح للسبيطار باش يجيب فواتير العلاج ديالو. سقسى الطبيب واش الفواتير تاعو فيهم كامل التفاصيل. الطبيب ضمنلو أن كلش مدون مليح. محمد حس بالاطمئنان حيت غادي يقدر يعطي الوراق لشركة التأمين. ,Algerian
 كان أحمد يبحث عن قاموس جيب في المكتبة ليساعده في دراسته للغة الإنجليزية. وجد واحدًا مناسبًا، فقد كان صغيرًا وعمليًا. دفع ثمن القاموس وشعر بسعادة لأنه سيكون مفيدًا في رحلته القادمة. استعمله كل يوم وتحسنت لغته الإنجليزية بشكل ملحوظ. , أحمد كان يقلب على قاموس جيب في المكتبة باش يعاونو في قرايتو للإنجليزية. لقى واحد ملاح، صغير وعملي. خلص عليه وحس بالفرحة لأنو غادي يجيبو معاه في سفرتو الجاية. استعملو كل نهار وطلعت لغتو الإنجليزية واعرة. ,Algerian
 حسناً، أنا لا أعلم ماذا حدث بالضبط، ولكن يبدو أن القط قد تسلق الشجرة ولم يستطع النزول. استدعينا رجال الإطفاء لمساعدته. وبعد جهود حثيثة، تمكنوا من إنقاذه. شكرتهم كثيرًا لأنهم أعادوا القط إلى أرض الأمان. , واخا، أنا ما نعرفش شكون صرا بالضبط، ولكن يظهر أن القطوس طلع للشجرة وما قدرش يهبط. صونينا لرجال الاطفاء باش يعاونوه. وبعد مجهود كبير، تمكنوا من إنقاذو. شكرتهم بزاف حيت رجعو القطوس للأمان. ,Algerian
 مبروك، علمت أنه قد تم ترقيتك إلى نائب رئيس. في يوم الترقية، استعد خالد بكل حماس ليذهب إلى العمل. وعند وصوله، استقبله زملاؤه بالتصفيق والتهاني. شعر بالفخر والسعادة لهذا الإنجاز، وعزم على مواصلة العمل بجد وإخلاص. , مبروك، عرفت بلي ترقيت لمنصب نائب الرئيس. نهار الترقية، خالد وجد روحو بكل حماس باش يمشي للخدمة. وقت اللي وصل، زملاه استقبلوه بتصفيق وتهاني. حس بالعزة والفرحة على هاد الإنجاز، وعاهد روحو يستمر يخدم بجدية وإخلاص. ,Algerian
 مساء بعد غد، سيعقد القرية احتفالاً كبيراً يشمل الألعاب النارية والرقص. وسيجتمع الناس من كل أنحاء المنطقة لمشاركة الفرح والمأكولات التقليدية. ستقدم الفرق الموسيقية عروضاً حية، وستكون الموسيقى ساحرة تملأ الأجواء. وبينما تغرب الشمس، ستضاء السماء بألوان الألعاب النارية، معلنة نهاية يوم لا يُنسى. , العشية بعد غدوة، القرية رايحة تدير حفلة كبيرة فيها لعاب نارية ورقصة. الناس يجو من كل بلاصة باش يشاركو في الفرحة وياكلو الأكل التقليدي. الفرق الموسيقية رايحين يقدمو عروض حية، والموسيقى رايحة تكون ساحرة تملى الجو. وملي تغيب الشمس، السماء رايحة تضوى بألوان اللعاب النارية، وتعلن نهاية يوم ما ينتساش. ,Algerian
 في جنوب اليابان حيث البحار الدافئة، يوجد صياد قديم يعيش وحيدًا في بيت صغير. كل صباح، يأخذ قاربه الخشبي الصغير ويبحر بحثًا عن الأسماك. يتميز بالصبر والهدوء، ويعتبر البحر صديقه الوحيد. في المساء، يعود إلى قريته حاملاً ما اصطاده، ويشارك قصص البحر مع الأطفال. , فالجنوب ديال اليابان وين البحار دافية، كاين صياد عجوز يعيش بوحدو في دار صغيرة. كل صباح، ياخد قاربو الخشبي الصغير ويمشي يقلب على الحوت. هو صبار وهادي، ويشوف البحر كصاحبو الوحيد. فالعشية، يرجع للقريتو ويجيب معاه اللي صاد، ويقص للصغار قصص البحر. ,Algerian
 اشترى أحمد تذكرة ذهاب وعودة إلى شيكاغو لحضور مؤتمر علمي. وصل إلى المدينة واستمتع بزيارة المعالم الشهيرة. التقى هناك بباحثين من مختلف دول العالم. عاد إلى وطنه مليئاً بالأفكار والخبرات الجديدة. , أحمد شرى تيكي شيكاغو عرجة ورجعة باش يحضر في كونغري علمي. وصل لشيكاغو وبرع بزيارة البلايص المعروفة. تلاقى مع باحثين من دول كثيرة. رجع لبلادو وهو معبي بأفكار وتجارب جديدة. ,Algerian
 في يوم من الأيام، قرر أحمد أن يجرب وجبة جديدة في المطعم المحلي. عندما قرأ القائمة، وجد خيارًا يحتوي على لحم خنزير مملح. ولكنه تذكر أن تناول لحم الخنزير محرم في دينه. فقرر أن يطلب طبقًا آخر يحتوي على الدجاج والأرز بدلًا من ذلك. , واحد النهار، أحمد قرر يجرب واحد البلاطو جديد في المطعم ديال الحومة. ملي قرا المينو، لقى فيها بلاطو فيه لحم ديال الخنزير مملح. ولكن تفكر بلي أكل لحم الخنزير حرام في ديننا. فقرر يطلب بلاطو آخر فيه الدجاج والروز بلاش داك. ,Algerian
 في يوم مشمس، ذهب أحمد إلى المكتبة للدراسة. وجد مكاناً هادئاً بين الرفوف وبدأ بقراءة كتبه. بعد ساعات، انضمت إليه صديقته سارة لمساعدته. انتهى اليوم بنجاح حيث استطاع أحمد أن يفهم ويحل جميع المسائل الصعبة. , في يوم مشمس، مشى أحمد للمكتبة باش يقرا. لقى بلاصة ساكتة بين الطاقات وبدا يقرى في كتبو. ورا وقت، جات صحبتو سارة تعاونو. سالا النهار بالنجاح وأحمد فهم وحل كل المشاكل الصعاب. ,Algerian
" في يوم عاصف، احتاجت السيدة أمينة للذهاب إلى السوق بسرعة. وجدت صعوبة في إيقاف سيارة أجرة بسبب الأمطار الغزيرة. عندما اقتربت سيارة، صرخت قائلة: ""من فضلك، أسرع!"" وأخيرًا تمكنت من الوصول إلى وجهتها في الوقت المحدد. "," في نهار برد، خاصة أمينة تروح للسوق بالسرعة. ما لقاتش طاكسي حيت الشتا كانت قاصحة. ملّي جا واحد الطاكسي قريب، صرخت: ""عافاك، خلّيها تجري!"" وفي الأخير، وصلت لبلاصتها في الوقت اللي حددت. ",Algerian
