MSA,Moroccan,lang
 إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني . وعندما عادت، وجدته قد غادر دون أن يودع. شعرت بالحيرة والقلق، فقد كانت تحمل له هديته المفضلة. بدأت تبحث عنه في كل أنحاء المبنى، تنادي اسمه بصوت عالٍ. وأخيرًا، وجدته في الحديقة ينظر إلى النجوم، فابتسمت وقدمت له الهدية. , هي ف آخر القاعة. غادي نجيب ليك شوية دابا. إلى بغيتي شي حاجة أخرى غير قول ليا. ومللي رجعات، لقاتو خرج وما ودعهاش. حسّات بالحيرة والقلق، حيت كانت جايبة ليه هديتو المفضلة. بدات كتقلب عليه فكل بلاصة داخل البناية، كتنادي سميتو بصوت عالي. وأخيرا، لقاتو فالجردة كيشوف فالنجوم، تبسمات وعطات ليه الهدية. ,Moroccan
" في أحد الأيام، كان هناك رجل يعمل في النجارة يسمى أحمد. كان دائمًا يسأل زبائنه ""هل تقومون بعمل تعديلات؟"" ليتأكد من رضاهم عن العمل. في إحدى المرات، أتى زبون طلب تعديل طاولة لتناسب تصميم منزله الجديد. أحمد عمل بجد على التعديل وفي النهاية، أبدى الزبون امتنانه لمهارة أحمد ودقته. "," في نهار، كان هناك شي واحد نجار سميتو أحمد. ديما كيسول الزبناء ديالو ""هل تقومون بعمل تعديلات؟"" باش يتأكدو باللي راضيين على الخدمة. واحد المرة، جا واحد الزبون طلب يبدل فوق طبلة باش تصلاح لدارو الجديدة. أحمد خدم بزاف على التعديلات وفي الأخير، الزبون عبر ليه على شكره لمهارة أحمد والدقة ديالو. ",Moroccan
 في أحد المطاعم الفاخرة، طلب أحمد وأسرته نريد مائدة بجانب النافذة ليتمتعوا بالمنظر الخلاب. بعد أن جلسوا، بدأت الأسرة بتقديم طلباتهم من قائمة الطعام. أثناء تناولهم الطعام، مرت مجموعة من الطيور الجميلة أمام النافذة، فأضافت جوًا من البهجة على وجبتهم. انتهوا من الأكل وشعروا بالرضا عن تجربتهم الرائعة في هذا المكان. , فواحد المطعم راقي، أحمد وعائلتو طلبو بغينا طبلة حدا الشرجم باش يتمتعو بالمنظر الزوين. من بعد ما جلسو، العائلة بداو يختارو شنو ياكلو من القائمة. وهما كاياكلو، طايرو شي طيور زوينين قدام الشرجم، وهادشي زاد الفرحة لوجبتهم. سالاو الاكل وحسو براحة كبيرة من التجربة اللي عشاو في هاد المكان. ,Moroccan
 هناك، أمام بيت السائح تماما، وقف قط أسود ينظر إليه بفضول. عندما فتح السائح الباب، دخل القط دون تردد. وجد السائح نفسه يبتسم، فقد رأى في عيني القط قصة مغامرات لم تُروَ بعد. ومع مرور الأيام، أصبح القط رفيقه في كل رحلاته ومغامراته. , هناك، قدام دار السائح بالضبط، كان كاين قط أسود كيشوف فيه بالفضول. ملي السائح حل الباب، القط دخل بلا تردد. السائح لقا راسو كيضحك، لأنو شاف فعيون القط حكايات مغامرات مازال ما تحكاوش. ومع الوقت، ولا القط صاحبو فكل رحلاتو ومغامراتو. ,Moroccan
 لم أسمع بهذا العنوان من قبل بالقرب من هنا. سألت الناس في الحي عنه لكن لا أحد يعرفه. قررت البحث عنه في الخرائط القديمة بالمكتبة. وأخيراً، وجدت العنوان مخفياً في إحدى الكتب النادرة. , ما سمعتش بهاد العنوان من قبل حدا هنا. سولت الناس فالحومة عليه ولكن حتا واحد ما عارفو. قررت نقلب عليه فالخرائط القديمة فالمكتبة. وأخيرا، لقيت العنوان مخبي فواحد الكتاب نادر. ,Moroccan
 استمر في السير في هذا الطريق حتى تجد صيدلية. عندما وصل إلى الصيدلية، اكتشف أنها مغلقة. شعر بالإحباط لكنه قرر أن ينتظر. بعد ساعة، فتح الصيدلي الباب واستطاع أن يشتري الدواء. , مشي على هاد الطريق حتى تلقى صيدلية. كيف وصل للصيدلية، تحقق بللي هي مسدودة. حس بالخيبة ولكن قرر يصبر. شوية و الصيدلي فتح الباب و قدر يشري الدواء. ,Moroccan
 في أحد أيام الربيع، لاحظت ليلى أن اللون الأخضر بدأ يظهر في كل مكان. قررت أن تشتري فستانًا جديدًا بنفس اللون لتواكب الموضة. وعندما ارتدته في الحفل، لفتت الأنظار إليها بجمالها. ومن ذلك اليوم، أصبح اللون الأخضر لونها المفضل في كل المواسم. , فواحد النهار ديال الربيع، ليلى لاحظت بللي اللون الخضر ولى كاين في كل بلاصة. قررت تشري فستان جديد بنفس اللون باش تمشي مع الموضة. ملي لبساتو في الحفلة، جميع العيون تجهت لعندها بسباب جمالها. ومن داك النهار، الخضر ولا اللون المفضل ديالها في كل الفصول. ,Moroccan
 كان خالد يسافر كثيرًا بسبب طبيعة عمله في التجارة الدولية. في إحدى رحلاته، التقى بتاجر من بلد آخر وأصبحا صديقين. في حالتي، غالبًا ما يكون من أجل العمل ونادرًا ما يكون للاستمتاع. لكن هذه المرة، قرر خالد أن يأخذ يومًا للتجول واكتشاف المدينة مع صديقه الجديد. , خالد كان كيسافر بزاف حيت خدمتو فالتجارة الدولية. واحد النهار، تلاقى مع تاجر من بلاد أخرى وولاو صحاب. في حالتي، كنت كنسافر بزاف على خاطر الخدمة وقليل على خاطر اللعب. ولكن هاد المرة، خالد قرر يدير يوم باش يتسارى ويكتشف المدينة مع صاحبو الجديد. ,Moroccan
 سأقيم لمدة يومين في بيت جدي القديم. وجدت هناك صندوقاً مليئاً بالذكريات. قضيت الساعات أتصفح الصور والرسائل. شعرت بحنين عميق للأيام التي مضت. , غادي نبقى يومين في دار جدي القديمة. لقيت تما صندوق عامر بالذكريات. دزت سوايع كنشوف في الصور والرسايل. حسيت بالحنين الكبير للأيام لي دازو. ,Moroccan
 أرادت ليلى تمويج شعرها بشكل متقارب، فقررت زيارة صالون التجميل المشهور في المدينة. عند وصولها، شرحت للمصففة بالضبط ما تريده. بعد ساعات من العمل، نظرت في المرآة فأعجبها شكل شعرها الجديد. شعرت بالثقة والسعادة، وأصبحت محط الأنظار في كل مكان تذهب إليه. , ليلى بغات تدير شعرها بوكلات صغار، حيت قررات تمشي لصالون ديال التجميل اللي عندو صيت فالمدينة. ملي وصلات، شرحات للكوافورة شنو بغات بالضبط. بعد شي ساعات ديال خدمة، شافت راسها فالمرايا وعجبها بزاف شكل شعرها الجديد. حسات بالثقة والفرحة، وولات محط أنظار فينما مشات. ,Moroccan
