MSA,Sudanese,lang
" ذهب خالد إلى المطعم وطلب محار الصخر. بعد لحظات من التفكير، سأل النادل ""هل لازال متاح لي أن أغير طلبي؟ أفضل سمك موسى بدلا من محار الصخر."" ابتسم النادل وأكد له أنه يمكن تغيير الطلب. شعر خالد بالسعادة وتطلع لتذوق سمك موسى الشهي. "," خالد راح لي المطعم وطلب محار الصخر. بعد شوية تفكير، قال للجرسون ""الزول، ممكن أغير طلبي ولا شنو؟ كنت أحب سمك موسى أحسن من محار الصخر."" الجرسون ضحك وقال ليهو إنو مافي مشكلة يغير. خالد اتبسط وانتظر سمك موسى بفارغ الصبر. ",Sudanese
" في يوم حار من أيام الصيف، دخل العم أحمد متجر الصرافة حاملاً يداً من الدولارات. طلب من الصراف تحويلها إلى جنيهات مصرية قائلاً ""من فضلك غير هذه الينات إلى جنيهات"". بابتسامته المعهودة، قام الصراف بعملية التحويل بسرعة وكفاءة. شكر العم أحمد الصراف وخرج من المتجر وقد ارتسمت على وجهه ابتسامة الرضا. "," في يوم حار من الأيام، العم أحمد دخل دكان الصرافة وفي إيدو حزمة من الدولارات. قال للصراف ""من فضلك غير دي الدولارات لي جنيهات"". الصراف بابتسامتو المعروفة، عمل ليهو الصرف بسرعة وحرفية. العم أحمد شكر الصراف ومشى من الدكان وعلى وشو ابتسامة الرضا. ",Sudanese
 أجرى الطبيب عملية استئصال الزائدة الدودية بنجاح. بعد العملية، استراح المريض في غرفته وكانت حالته تتحسن تدريجيًا. خلال فترة التعافي، حرص الطاقم الطبي على رعايته بشكل ممتاز. وأخيرًا، غادر المريض المستشفى بصحة جيدة وشعور بالامتنان العميق. , الدكتور عمل عملية استئصال الزائدة الدودية ونجح فيها. بعد ما خلصت العملية، المريض استراح في حجرته وبدأ يتحسن شوي شوي. الفريق الطبي كان دايمًا جنبه واعتنوا بيهو في فترة الراحة. وفي النهاية، المريض مشى من المستشفى بصحة كويسة وممتن جدًا. ,Sudanese
 ذهب محمد إلى المستشفى ليستلم فواتير علاجه الطبي. سأل الطبيب إذا ما كانت الفواتير تشمل كل التفاصيل. أكد الطبيب أن كل شيء موثق بدقة. شعر محمد بالارتياح لأنه سيتمكن من تقديم الوثائق لشركة التأمين. , محمد راح للمستشفى يستلم فواتير علاجو. سأل الدكتور لو الفواتير فيها كل التفاصيل. الدكتور قال ليهو كل حاجة مسجلة صاح. محمد حس براحة لأنه حيقدر يوري الورق لشركة التأمين. ,Sudanese
 كان أحمد يبحث عن قاموس جيب في المكتبة ليساعده في دراسته للغة الإنجليزية. وجد واحدًا مناسبًا، فقد كان صغيرًا وعمليًا. دفع ثمن القاموس وشعر بسعادة لأنه سيكون مفيدًا في رحلته القادمة. استعمله كل يوم وتحسنت لغته الإنجليزية بشكل ملحوظ. , أحمد كان بيدور على قاموس جيب صغير في المكتبة عشان يساعدو في دراستو للإنجليزي. لقا واحد كويس كده، صغير وينفع يستخدمو في أي مكان. دفع القروش وفرح لأنو ح ينفعو في سفرتو الجاية. استخدمو كل يوم ولغتو الإنجليزية بقت أحسن كتير. ,Sudanese
 حسناً، أنا لا أعلم ماذا حدث بالضبط، ولكن يبدو أن القط قد تسلق الشجرة ولم يستطع النزول. استدعينا رجال الإطفاء لمساعدته. وبعد جهود حثيثة، تمكنوا من إنقاذه. شكرتهم كثيرًا لأنهم أعادوا القط إلى أرض الأمان. , أيوه، أنا ما عارف شنو حصل بالضبط، لكن شكلها البسة طلعت الشجرة وما قدرت تنزل. يعني جبنا ناس الإطفاء يساعدوها. وبعد تعب شديد، قدروا ينقذوها. زول كترت شكري ليهم عشان رجعوا البسة للأمان. ,Sudanese
 مبروك، علمت أنه قد تم ترقيتك إلى نائب رئيس. في يوم الترقية، استعد خالد بكل حماس ليذهب إلى العمل. وعند وصوله، استقبله زملاؤه بالتصفيق والتهاني. شعر بالفخر والسعادة لهذا الإنجاز، وعزم على مواصلة العمل بجد وإخلاص. , مبروك، عرفت إنو اترقيت لنائب الرئيس. في يوم الترقية، خالد وقف جاهز ومتحمس يمشي للشغل. لما وصل، زمايلو استقبلوهو بالتشجيع والمباركات. حس بالفخر والفرحة بالإنجاز ده، وقرر يستمر يشتغل بجد وأمانة. ,Sudanese
 مساء بعد غد، سيعقد القرية احتفالاً كبيراً يشمل الألعاب النارية والرقص. وسيجتمع الناس من كل أنحاء المنطقة لمشاركة الفرح والمأكولات التقليدية. ستقدم الفرق الموسيقية عروضاً حية، وستكون الموسيقى ساحرة تملأ الأجواء. وبينما تغرب الشمس، ستضاء السماء بألوان الألعاب النارية، معلنة نهاية يوم لا يُنسى. , مسا بعد بكرة، القرية حاتعمل حفلة كبيرة فيها شمارات ورقيص. الناس حايجو من كل ناحية في الحوش عشان يفرحو وياكلو الأكل الأصيل. الفرق المزيكية حاتعزف لايف، والمزيكة حاتكون سِحِر تملي الجو. ولما تغرب الشمس، السما حاتتضوي بألوان الشمارات، وتقول ختام ليوم ما بنتسى. ,Sudanese
 في جنوب اليابان حيث البحار الدافئة، يوجد صياد قديم يعيش وحيدًا في بيت صغير. كل صباح، يأخذ قاربه الخشبي الصغير ويبحر بحثًا عن الأسماك. يتميز بالصبر والهدوء، ويعتبر البحر صديقه الوحيد. في المساء، يعود إلى قريته حاملاً ما اصطاده، ويشارك قصص البحر مع الأطفال. , في جنوب اليابان وين البحر دافي، في زول صياد كبير في السن ساكن لوحدو في بيت صغير. كل صباح، بمشي بقاربو الخشب الصغير يجدع في البحر يدور على السمك. بتحلى بالصبر والهدوء، وبعتبر البحر ده صاحبو الوحيد. برجع المغرب لدغريتو ومعاهو السمك الجابو، وبحكي للجهال حكاوي البحر. ,Sudanese
 اشترى أحمد تذكرة ذهاب وعودة إلى شيكاغو لحضور مؤتمر علمي. وصل إلى المدينة واستمتع بزيارة المعالم الشهيرة. التقى هناك بباحثين من مختلف دول العالم. عاد إلى وطنه مليئاً بالأفكار والخبرات الجديدة. , أحمد اشترى تذاكر روحة وجية لشيكاغو عشان يحضر مؤتمر علمي. وصل هناك وانبسط بزيارة الأماكن المشهورة. قابل ناس من جميع أنحاء العالم. رجع لبلدو حامل أفكار وخبرات جديدة. ,Sudanese
