MSA,Yemeni,lang
 إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني . وعندما عادت، وجدته قد غادر دون أن يودع. شعرت بالحيرة والقلق، فقد كانت تحمل له هديته المفضلة. بدأت تبحث عنه في كل أنحاء المبنى، تنادي اسمه بصوت عالٍ. وأخيرًا، وجدته في الحديقة ينظر إلى النجوم، فابتسمت وقدمت له الهدية. , هي في آخر القاعة. باجيب لك شوية منها حالاً. إذا تريد أي شي آخر بس قل لي. ولما رجعت، لقته مشى من دون ما يودع. حست بحيرة وهم، كانت جايبة له هدية اللي يحبها. بدأت تدور عليه في كل مكان في البناية، تصيح باسمه بصوت عالي. وأخيرًا، لقته في البستان يشوف النجوم، ابتسمت وقدمت له الهدية.,Yemeni
" في أحد الأيام، كان هناك رجل يعمل في النجارة يسمى أحمد. كان دائمًا يسأل زبائنه ""هل تقومون بعمل تعديلات؟"" ليتأكد من رضاهم عن العمل. في إحدى المرات، أتى زبون طلب تعديل طاولة لتناسب تصميم منزله الجديد. أحمد عمل بجد على التعديل وفي النهاية، أبدى الزبون امتنانه لمهارة أحمد ودقته. "," في يوم من الأيام، كان هناك واحد نجار اسمه أحمد. دايماً كان يسأل الزباين ""هل تقومون بعمل تعديلات؟"" علشان يتأكد إنهم مرتاحين من الشغل. في مرة، جاء له زبون يريد يعدل في طاولة باش تتناسب مع بيته الجديد. أحمد تعب كثير في التعديل وفي الآخر، الزبون عبر عن شكره لأحمد على مهارته ودقته.",Yemeni
 في أحد المطاعم الفاخرة، طلب أحمد وأسرته نريد مائدة بجانب النافذة ليتمتعوا بالمنظر الخلاب. بعد أن جلسوا، بدأت الأسرة بتقديم طلباتهم من قائمة الطعام. أثناء تناولهم الطعام، مرت مجموعة من الطيور الجميلة أمام النافذة، فأضافت جوًا من البهجة على وجبتهم. انتهوا من الأكل وشعروا بالرضا عن تجربتهم الرائعة في هذا المكان. , في واحد من المطاعم الفخمة، أحمد وأهله طلبوا نريد طاولة جنب الدريشة باش يستمتعوا بالمنظر الجميل. لما جلسوا، الأهل بدأوا يختاروا الأكل من القائمة. وهم يتعشوا، مرت مجموعة من الطيور الزينة قدام الدريشة، وذلك زاد العشاء لذة. انتهوا من الأكل وهم فرحانين بالتجربة الزينة اللي عاشوها هناك.,Yemeni
 هناك، أمام بيت السائح تماما، وقف قط أسود ينظر إليه بفضول. عندما فتح السائح الباب، دخل القط دون تردد. وجد السائح نفسه يبتسم، فقد رأى في عيني القط قصة مغامرات لم تُروَ بعد. ومع مرور الأيام، أصبح القط رفيقه في كل رحلاته ومغامراته. , هناك، قدام بيت السائح بالضبط، وقف قط أسود يشوف له بفضول. لما السائح فتح الباب، القط دخل من غير تردد. السائح لقى نفسه يبتسم، عشان شاف في عيون القط حكايات مغامرات ما حد قالها. ومع مرور الأيام، صار القط صاحبه في كل سفراته ومغامراته.,Yemeni
 لم أسمع بهذا العنوان من قبل بالقرب من هنا. سألت الناس في الحي عنه لكن لا أحد يعرفه. قررت البحث عنه في الخرائط القديمة بالمكتبة. وأخيراً، وجدت العنوان مخفياً في إحدى الكتب النادرة. , ماسمعتش بالعنوان هذا من قبل هنا جنبنا. سألت الناس في الحارة عنه بس ماحد عرفه. قررت أبحث عنه في الخرائط القديمة اللي في المكتبة. وفي الآخر، لقيت العنوان مخبى في واحدة من الكتب النادرة.,Yemeni
 استمر في السير في هذا الطريق حتى تجد صيدلية. عندما وصل إلى الصيدلية، اكتشف أنها مغلقة. شعر بالإحباط لكنه قرر أن ينتظر. بعد ساعة، فتح الصيدلي الباب واستطاع أن يشتري الدواء. , استمر بالمشي في هذا الطريق حتى تجد صيدلية. لما وصل للصيدلية، لقى إنها مقفلة. شعر بخيبة أمل بس قرر ينتظر. بعد ساعة، الصيدلي فتح الباب واستطاع يشتري الدوا.,Yemeni
 في أحد أيام الربيع، لاحظت ليلى أن اللون الأخضر بدأ يظهر في كل مكان. قررت أن تشتري فستانًا جديدًا بنفس اللون لتواكب الموضة. وعندما ارتدته في الحفل، لفتت الأنظار إليها بجمالها. ومن ذلك اليوم، أصبح اللون الأخضر لونها المفضل في كل المواسم. , في يوم من أيام الربيع، لاحظت ليلى أن اللون الأخضر بدأ يظهر في كل محل. قررت تشتري فستان جديد بنفس اللون عشان تتابع الموضة. ولما لبسته في العرس، كل الناس انتبهوا لجمالها. ومن ذاك اليوم، الأخضر صار لونها المفضل في كل الفصول.,Yemeni
 كان خالد يسافر كثيرًا بسبب طبيعة عمله في التجارة الدولية. في إحدى رحلاته، التقى بتاجر من بلد آخر وأصبحا صديقين. في حالتي، غالبًا ما يكون من أجل العمل ونادرًا ما يكون للاستمتاع. لكن هذه المرة، قرر خالد أن يأخذ يومًا للتجول واكتشاف المدينة مع صديقه الجديد. , خالد كان دائمًا يسافر كثير لعمله في التجارة الدولية. في وحدة من سفراته، لقي بتاجر من بلد ثاني وصاروا أصحاب. في حالتي، عادة أسافر من أجل الشغل وقليل من أجل الاستمتاع. لكن هذه المرة، خالد قرر يأخذ يوم يتنزه ويشوف المدينة مع صديقه الجديد.,Yemeni
 سأقيم لمدة يومين في بيت جدي القديم. وجدت هناك صندوقاً مليئاً بالذكريات. قضيت الساعات أتصفح الصور والرسائل. شعرت بحنين عميق للأيام التي مضت. , باقعد يومين في بيت جدي القديم. لقيت هناك صندوق مليان بالذكريات. قضيت ساعات أتفرج على الصور والرسايل. حسيت بشوق شديد للأيام اللي مضت.,Yemeni
 أرادت ليلى تمويج شعرها بشكل متقارب، فقررت زيارة صالون التجميل المشهور في المدينة. عند وصولها، شرحت للمصففة بالضبط ما تريده. بعد ساعات من العمل، نظرت في المرآة فأعجبها شكل شعرها الجديد. شعرت بالثقة والسعادة، وأصبحت محط الأنظار في كل مكان تذهب إليه. , ليلى تريد تعمل شعرها كيرلي دقيق، فقررت تزور صالون التجميل المعروف في المدينة. لما وصلت، فسرت للمصففة بالضبط شو تريد. بعد ساعات من الشغل، شافت شعرها في المراية وأعجبها الشكل الجديد كثير. حست بالثقة والفرحة، وصارت محط الأنظار في كل مكان تروح له.,Yemeni
" في يوم مشمس، قرر أحمد وعائلته الذهاب في رحلة إلى البحر. قبل الرحلة بأسبوع، قال أحمد ""أريد حجز غرفتين مزدوجتين"". وجد فندقًا جميلًا يطل على الشاطئ وقام بالحجز. استمتعت العائلة بوقتها، وكانت الإجازة ناجحة. "," في يوم مشمس، أحمد وأسرته قرروا يذهبوا لرحلة على البحر. قبل الرحلة بأسبوع، قال أحمد ""أريد أحجز لي غرفتين مزدوجتين"". لقى فندق حلو يطل على البحر وحجز فيه. الأسرة استمتعت بالوقت، وكانت العطلة ناجحة.",Yemeni
 كانت هناك شجرة عملاقة أمام منزل أحمد، وكان يحب الجلوس تحت ظلها كل يوم. لا أريد إزالتها، فهي تحميني من حر الصيف وتمنحني الهواء النقي. جاءت البلدية لإزالة الشجرة بحجة توسعة الطريق، لكن أحمد تصدى لهم بكل قوة. وفي النهاية، نجح في إقناعهم بتغيير مسار الطريق والحفاظ على الشجرة. , كان هناك شجرة كبيرة قدام بيت أحمد، وكان يحب يقعد تحت ظلها كل يوم. ما أريد أشيلها، هذه تحميني من حر الصيف وتعطيني هواء نقي. البلدية جت عشان تشيل الشجرة بحجة توسيع الشارع، لكن أحمد واجههم بكل قوته. وفي النهاية، استطاع يقنعهم يغيروا مسار الشارع ويحافظوا على الشجرة.,Yemeni
" في أحد الأيام، سأل رجل عجوز عن محطة الحافلة. ""هل هذه الحافلة تتوقف في شارع أستونر؟""، سأل السائق. أومأ السائق برأسه مؤكدًا، ودعا الرجل للصعود. شكر الرجل السائق وجلس ينتظر، متأملاً المناظر الجميلة من النافذة. "," في يوم، شايب سأل عن محطة الباص. ""هل باصكم هذا يقف في شارع أستونر؟""، سأل السواق. السواق أومأ براسه ودعاه يركب. الشايب شكر السواق وجلس ينتظر، متأمل المناظر الجميلة من النافذة.",Yemeni
 من فضلك افتح فمك على مداه. قال الطبيب ذلك بينما كان يحضر أدواته للفحص. شعر الطفل بالقلق ولكنه أطاع الأمر. بعد الفحص، ابتسم الطبيب مطمئنًا الطفل بأن كل شيء على ما يرام. , من فضلك افتح بؤك على مداه. الدكتور قال كدا وهو يعد أدواته للفحص. اليهال حس بخوف بس رضخ للأمر. بعد الفحص، الدكتور ابتسم وطمن اليهال إن كل شيء تمام.,Yemeni
 كان هناك رجل جائع يسأل عن سعر وجبة الإفطار. فأخبره النادل أن الإفطار يكلف عشرة دنانير. شعر الرجل بالسعادة لأن السعر كان في متناوله. وبعد الإفطار، شكر الرجل النادل وانصرف وهو يشعر بالرضا. , كان هناك واحد جوعان سأل عن سعر الفطور. الجرسون قال له إن الفطور بعشرة ريال. الرجل فرح لأن السعر كان مناسب له. وبعد ما فطر، شكر الرجل الجرسون ومشى راضي.,Yemeni
