id,split,MSA,EGY
0,corpus-6-train,إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني .,هو في اخر القاعة . أنا حأجيبلك شويه دلوقتي . لو محتاج حاجة تانية، قولي.
2,corpus-6-train,هل تقومون بعمل تعديلات ؟,بتعمل تبديلات؟
4,corpus-6-train,نريد مائدة بجانب النافذة .,عايزين ترابيزة جنب الشباك .
5,corpus-6-test-corpus-26-train,هناك ، أمام بيانات السائح تماما .,ده قدامك هناك، يادوبك قدام مكتب استعلامات السياحة .
9,corpus-6-test-corpus-26-train,لم اسمع بهذا العنوان من قبل بالقرب من هنا .,عمري ما سمعت عن العنوان ده هنا .
11,corpus-6-test-corpus-26-train,استمر في السير في هذا الطريق حتى تجد صيدلية .,أمشي علطول لحد ما تلقي صيدلية.
12,corpus-6-train,ما هو أحدث لون هذا الموسم .,ايه اجدد لون في الموسم ده؟
14,corpus-6-train,في حالتي ، غالباً ما يكون من أجل العمل ونادراً ما يكون للاستمتاع .,في الحالة بتاعتي، بيبقى عادة شغل، وقليل جدا ترفيه.
15,corpus-6-train,سأقيم لمدة يومين .,هقعد يومين .
16,corpus-6-train,أريد تمويج متقارب بشعري,انا عايز اعمل كيرلي جامد.
17,corpus-6-train,أريد حجز غرفتين مزدوجتين .,عايز احجز اوضتين بسريرين .
18,corpus-6-train,لا أريد إزالتها .,انا مش عايزه منزوع.
19,corpus-6-train,هل هذه الحافلة تتوقف في شارع أستونر ؟,الأوتوبيس ده حيقف في شارع ستونر؟
24,corpus-6-train,من فضلك افتح فمك على مداه .,من فضلك افتح بقك جامد.
26,corpus-6-test-corpus-26-train,كم تكلفة الإفطار ؟,بكام الفطار؟
27,corpus-6-test-corpus-26-train,كيف أستطيع مساعدتك ؟,ازاي أقدر اساعدك؟
29,corpus-6-train,دعنا نأخذ قطعة لنأكلها .,خلينا ناكل لقمة.
30,corpus-6-test-corpus-26-train,اتجه يسارا عند الناصية الثالثة .,احود شمال عند الناصية التالته.
31,corpus-6-train,هل لك أن تقوم بتنظيف هذه الملابس ؟,ممكن تنضف الهدوم ديه؟
37,corpus-6-dev,أعطيك رقم تليفونه وعنوانه .,انا اديتك تليفونه و عنوانه.
38,corpus-6-train,لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماًً .,انا دفعت مقدما حساب الفندق و الاكل.
40,corpus-6-train,أبحث عن مطعم جيد ، للمشويات . هل يمكنك أن تشير إلى أماكن تلك المطاعم على الخريطة ؟,بأدور على حاتي كويس ويكون هادي. ممكن توريني مكانهم عالخريطة دي؟
42,corpus-6-train,أنت تقوم بكسرها ، فأنت الذي اشتريتها .,اللي تكسره، تشتريته.
46,corpus-6-train,سوف أخبرها بأن تتصل بك بمجرد أن تصل .,حأبلغها تكلمك اول ما ترجع.
50,corpus-6-test-corpus-26-train,هل تحب أن تضع قشدة وسكر في قهوتك ؟,تحب كريمة و سكر في قهوتك؟
51,corpus-6-train,لقد أصيبت إصابة بالغة .,هي متعورة جامد.
52,corpus-6-train,أريد قداحة .,عاوز ولاعة.
53,corpus-6-train,هل لدى هذا الفندق تجهيزات للمؤتمرات ؟,فيه في الفندق ده تجهيزات للمؤتمرات؟
56,corpus-6-train,هل من المناسب أن نتناول وجبة خفيفة ؟,حيكون كويس لو اخدنا وجبة خفيفة؟
57,corpus-6-train,أنا أتصل من المطار . سأصل هناك في حوالي الساعة الرابعة .,انا بأكلمك من المطار . حأكون هناك حوالي اربعه.
62,corpus-6-train,أين سأغير إلى شيكاغو .,من فين أقدر أروح لشيكاجو؟
63,corpus-6-train,كم تكلفة إرسال خطاب مسجل إلى فرنسا ؟,بكام أقدر ابعت جواب مسجل لفرنسا؟
64,corpus-6-test-corpus-26-train,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟,ممكن تصرفلي شيك بميتين دولار؟
68,corpus-6-train,إن القيادة على الجانب الأيمن من الطريق مختلفة تماماً بالفعل .,ده فعلا مختلف ان الواحد يسوق على جنب الشارع اليمين.
69,corpus-6-train,كان الممثل رائعا بالفعل .,الممثل ده حقيقي رائع.
72,corpus-6-train,أين الجانب غير الخيالي في شخصيتك ؟,فين قسم الكتب اللي مش خياليه بتاعك؟
74,corpus-6-test-corpus-26-train,إذا حدث ذلك ، من فضلك أتصل بي .,لو لازم يظهر، لو سمحت كلمني .
78,corpus-6-dev,هل يمكن أن تغير مقعدي من فضلك ؟,ممكن لو سمحت تغير الكرسي بتاعي؟
79,corpus-6-train,هل هناك ضمانا ؟,فيه ضمان؟
