id,split,MSA,MSA Translation
5,corpus-6-test-corpus-26-train,هناك ، أمام بيانات السائح تماما .,هناك ، أمام بيانات السائح تماما.
9,corpus-6-test-corpus-26-train,لم اسمع بهذا العنوان من قبل بالقرب من هنا .,لم اسمع بهذا العنوان من قبل بالقرب من هنا.
11,corpus-6-test-corpus-26-train,استمر في السير في هذا الطريق حتى تجد صيدلية .,استمر في السير في هذا الطريق حتى تجد صيدلية.
26,corpus-6-test-corpus-26-train,كم تكلفة الإفطار ؟,كم تكلفة الإفطار ؟
27,corpus-6-test-corpus-26-train,كيف أستطيع مساعدتك ؟,كيف أستطيع مساعدتك ؟
30,corpus-6-test-corpus-26-train,اتجه يسارا عند الناصية الثالثة .,اتجه يسارا عند الناصية الثالثة.
50,corpus-6-test-corpus-26-train,هل تحب أن تضع قشدة وسكر في قهوتك ؟,هل تحب أن تضع قشدة وسكر في قهوتك ؟
64,corpus-6-test-corpus-26-train,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي
74,corpus-6-test-corpus-26-train,إذا حدث ذلك ، من فضلك أتصل بي .,إذا حدث ذلك ، من فضلك أتصل بي.
86,corpus-6-test-corpus-26-train,أين المقهى ؟,أين المقهى ؟
87,corpus-6-test-corpus-26-train,أريد جاكيت للأطفال .,أريد جاكيت للأطفال.
91,corpus-6-test-corpus-26-train,حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .,حسنا. إنها تتكلف خمسة وثمانون دولارا
120,corpus-6-test-corpus-26-test,كنت سأشتري هذا إن كنت في مكانك ؟,كنت سأشتري هذا إن كنت في مكانك ؟
129,corpus-6-test-corpus-26-train,هل لديك أحذية حريمي عند أصابع القدم ؟,هل لديك أحذية حريمي عند أصابع القدم ؟
130,corpus-6-test-corpus-26-train,هل ستواجهني أية صعوبات في الجمارك ؟,هل ستواجهني أية صعوبات في الجمارك ؟
140,corpus-6-test-corpus-26-train,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام
143,corpus-6-test-corpus-26-train,أريد تمويج متقارب لشعري ، من فضلك .,أريد تمويج متقارب لشعري ، من فضلك.
145,corpus-6-test-corpus-26-train,هي تريد بيرة .,هي تريد بيرة.
157,corpus-6-test-corpus-26-train,صباح الخير . كيف حالك .,صباح الخير. كيف حالك.
158,corpus-6-test-corpus-26-train,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد
169,corpus-6-test-corpus-26-train,أي نوع من الملابس ؟,أي نوع من الملابس ؟
170,corpus-6-test-corpus-26-train,هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟,هذا بارد إلى حد ما. هل يمكن أن تقوم بتسخ
173,corpus-6-test-corpus-26-test,أسف ، هذا المكان محجوز بالفعل .,أسف ، هذا المكان محجوز بالفعل.
176,corpus-6-test-corpus-26-train,أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟,أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق 
