id,split,MSA,EGY,EGY Translation
5,corpus-6-test-corpus-26-train,هناك ، أمام بيانات السائح تماما .,ده قدامك هناك، يادوبك قدام مكتب استعلامات السياحة .,"ଏହା, على بيانات السياح."
9,corpus-6-test-corpus-26-train,لم اسمع بهذا العنوان من قبل بالقرب من هنا .,عمري ما سمعت عن العنوان ده هنا .,أنا لست بحاجة إلى هنا.
11,corpus-6-test-corpus-26-train,استمر في السير في هذا الطريق حتى تجد صيدلية .,أمشي علطول لحد ما تلقي صيدلية.,ଆପଣ ଏହି طريق ଯାହା ତ تجد
26,corpus-6-test-corpus-26-train,كم تكلفة الإفطار ؟,بكام الفطار؟,تكلفة إفطار?
27,corpus-6-test-corpus-26-train,كيف أستطيع مساعدتك ؟,ازاي أقدر اساعدك؟,أنا ستطيع مساعدتك?
30,corpus-6-test-corpus-26-train,اتجه يسارا عند الناصية الثالثة .,احود شمال عند الناصية التالته.,أنا يسار عند n'ani.
50,corpus-6-test-corpus-26-train,هل تحب أن تضع قشدة وسكر في قهوتك ؟,تحب كريمة و سكر في قهوتك؟,ଆପଣ تريدين استخدام سكر على قهوتك?
64,corpus-6-test-corpus-26-train,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟,ممكن تصرفلي شيك بميتين دولار؟,ଆପଣ يمكنك دفع أموالك?
74,corpus-6-test-corpus-26-train,إذا حدث ذلك ، من فضلك أتصل بي .,لو لازم يظهر، لو سمحت كلمني .,"ଯଦି ଘଟି, أنا فضلك اتصل بي"
86,corpus-6-test-corpus-26-train,أين المقهى ؟,فين القهوة؟,Where is the restaurant?
87,corpus-6-test-corpus-26-train,أريد جاكيت للأطفال .,عايز بلوفر اطفال.,أنا بحاجة جاكيت أطفال.
91,corpus-6-test-corpus-26-train,حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .,اوكيه . ده بيكلف خمسه و تمانين سنت للبريد العادي أو زيادة تلات دولارات بالظبط للبريد المخصوص.,Bonjour. They cost twenty and twenty dollars in a standard mail and
120,corpus-6-test-corpus-26-test,كنت سأشتري هذا إن كنت في مكانك ؟,لو كنت مكانك كنت صدقت.,أنا تريدين هذا إن كنت في مكانك؟
129,corpus-6-test-corpus-26-train,هل لديك أحذية حريمي عند أصابع القدم ؟,حالاقي مشاكل مع الجمارك؟,ଆପଣ حذاء رملي عند قدمك؟
130,corpus-6-test-corpus-26-train,هل ستواجهني أية صعوبات في الجمارك ؟,عندك جزم رسمي واسعه من قدام؟,আমি بحاجة إلي صعوبات في اسكتلندا؟
140,corpus-6-test-corpus-26-train,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .,لأ . ممكن انصح اوضة بسريرين يقعد فيها واحد بس؟ احنا عندنا واحده .,""""""" - - - - - - - - "
143,corpus-6-test-corpus-26-train,أريد تمويج متقارب لشعري ، من فضلك .,عاوز كيرلي جامد، لو سمحت.,أنا ingin a n'a n'a n'a 
145,corpus-6-test-corpus-26-train,هي تريد بيرة .,نفسها في بيرة.,ଆପଣ నగ.
157,corpus-6-test-corpus-26-train,صباح الخير . كيف حالك .,صباح الخير . عامل ايه؟,Bonjour. Bagaimana?
158,corpus-6-test-corpus-26-train,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .,متأسف بس محتاج أشوف أى مستند اثبات شخصية .,أنا بحاجة إلى قراءة بيانات لمعرفة مكان 
169,corpus-6-test-corpus-26-train,أي نوع من الملابس ؟,أى نوع صوص؟,ايه نوع من الملابس؟
170,corpus-6-test-corpus-26-train,هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟,ده ساقع شوية . ممكن تدفيه؟,ଏହା بارد. يمكنك تحميمه?
173,corpus-6-test-corpus-26-test,أسف ، هذا المكان محجوز بالفعل .,اسف، المكان ده متاخد.,""""""" - ଏହି مكان ନିର୍ମାଣ."
176,corpus-6-test-corpus-26-train,أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟,انا كويس جدا. .بس ممكن من غير مؤاخذه تكلم صاحبي؟,"أنا మంచి, 但我 لست بحاجة إلي اتصال صديق"
177,corpus-6-test-corpus-26-test,شكراً ، هذا يكفي .,شكرا ليك، ده كفاية .,"شكراً, هذا يمكن."
184,corpus-6-test-corpus-26-train,من هو أفضل صديق لك ؟,مين أقرب صديق ليك؟,Ǹjẹ a meilleur ami?
187,corpus-6-test-corpus-26-train,يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .,يوم الصحة والرياضة في عشرة اكتوبر معمول علشان يحسن صحة الناس .,ଖାଦ୍ୟ ଖାଦ୍ୟ ଏକ ରାଜ୍ୟ ଏ
192,corpus-6-test-corpus-26-train,هل تريد أن افحص موتور السيارة ؟,عايزني ابص تحت الكبوت؟,ଆପଣ ଆପଣ కారు?
206,corpus-6-test-corpus-26-train,هل لك أن تساعدني في الوصول إلى حقيبتي ؟,ممكن تساعدني الاقي شنطتي؟,ଆପଣ يمكنك مساعدتي?
221,corpus-6-test-corpus-26-train,هل ستقوم بعمل الترتيبات مقدماً ؟,ممكن مقدما نجهز الترتيبات؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
238,corpus-6-test-corpus-26-train,تقدم إلىّ المساعدة ، شكراً لك .,فيه حد بيساعدني. شكرا .,أنا ساعدتني.
261,corpus-6-test-corpus-26-train,عندما تصل هناك أسأل شخص آخر ، من فضلك .,لما توصل هناك، اسأل واحد تاني، من فضلك .,"Quand a n'a y'atanya, a s"
280,corpus-6-test-corpus-26-train,أريد الامتداد أربع وعشرون ، من فضلك .,من فضلك عايز امد حجزي للغرفة، اربعه و عشرين ساعه كمان.,أنا ingin a n'a n'a n'a 
285,corpus-6-test-corpus-26-train,تفضل هذان دولاران . احتفظ بالباقي .,ادي دولارين. خللي الباقي عشانك.,أنا تريدين دولار. أنا خزني.
315,corpus-6-test-corpus-26-train,واحد هامبرجر وواحد شيز برجر ، من فضلك .,ممكن واحد هامبرجر وواحد شيز برجر.,"Otu hamster, a hamster."
319,corpus-6-test-corpus-26-train,كم تتقاضى لتطبيع صور الفيلم ؟,بتاخد كام في العملية؟,ଆପଣ ଆପଣ ଫେଲ୍ ଫୋଟ୍ 
320,corpus-6-test-corpus-26-train,كلا منا يريد أن يحاسب على وجبته .,نحب ندفع تمن اكلنا .,Everyone wants to pay for his food.
326,corpus-6-test-corpus-26-train,المكان كان على كرسي في البهو .,المكان كان على كرسي في الطرقة.,مكان على meja.
333,corpus-6-test-corpus-26-test,من فضلك غير هذه الينات إلى جنيهات .,من فضلك غيرلي الين اللي معايا بجنيهات.,ଆପଣ ଆପଣ ଏହି ଜଣ.
346,corpus-6-test-corpus-26-train,أريد قاموس جيب ، من فضلك .,عايز قاموس جيب صغير، ،لو سمحت .,"أنا بحاجة لكتابة, أنا فضلك."
360,corpus-6-test-corpus-26-train,"لشخصين عند الساعة السابعة , الاسم وتاناب .",لشخصين الساعة سبعة . الاسم واتانابي.,""""""" """""" - s."
368,corpus-6-test-corpus-26-train,ساعتي . كانت ساعة سيكو رقمية .,ساعتي كانت سايكو رقميه.,ساعتي. كانت ساعة رقمية.
