id,split,MSA,ALG
5,corpus-6-test-corpus-26-train,هناك ، أمام بيانات السائح تماما .,راهو لهيك، بالضبط قدام المكتب تع معلومات السياح.
9,corpus-6-test-corpus-26-train,لم اسمع بهذا العنوان من قبل بالقرب من هنا .,جامي سمعت بهاذ العنوان في هاذ الجيهة.
11,corpus-6-test-corpus-26-train,استمر في السير في هذا الطريق حتى تجد صيدلية .,امشي قبالة حتى تشوف صيدلية.
26,corpus-6-test-corpus-26-train,كم تكلفة الإفطار ؟,شحال القهوة تع الصباح؟
27,corpus-6-test-corpus-26-train,كيف أستطيع مساعدتك ؟,كيفاش نقدر نعاونك؟
30,corpus-6-test-corpus-26-train,اتجه يسارا عند الناصية الثالثة .,دور على اليسار في الطريق الثالثة.
50,corpus-6-test-corpus-26-train,هل تحب أن تضع قشدة وسكر في قهوتك ؟,تحب الكريمة و السكر فالقهوة ديالك؟
64,corpus-6-test-corpus-26-train,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟,تقدر تصرفلي الميتين دولار تاوعي لي راهوم فالشاك؟
74,corpus-6-test-corpus-26-train,إذا حدث ذلك ، من فضلك أتصل بي .,ويدا لازم يظهر، عيطلي من فضلك.
86,corpus-6-test-corpus-26-train,أين المقهى ؟,وين جايا القهوة؟
87,corpus-6-test-corpus-26-train,أريد جاكيت للأطفال .,راني حاب تريكو تع أطفال.
91,corpus-6-test-corpus-26-train,حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .,ايه. معنتها خمسة و ثمانون سنت للبرية العادية، و تزيدلها ثلاثة دولار بالضبط باش تبعثها اكسبرس.
120,corpus-6-test-corpus-26-test,كنت سأشتري هذا إن كنت في مكانك ؟,لوكان جيت في بلاصتك نشريها.
129,corpus-6-test-corpus-26-train,هل لديك أحذية حريمي عند أصابع القدم ؟,راني حاب نعرف ويدا يكون عندي مشكل مع الجمارك؟
130,corpus-6-test-corpus-26-train,هل ستواجهني أية صعوبات في الجمارك ؟,عندكم صبابط رسمية عراض من القدام؟
140,corpus-6-test-corpus-26-train,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .,لالا. نقترح عليك غرفة فيها زوج بناك لشخص واحد. كاينة واحدة واجدة.
143,corpus-6-test-corpus-26-train,أريد تمويج متقارب لشعري ، من فضلك .,راني حاب برمانونت قوي.
145,corpus-6-test-corpus-26-train,هي تريد بيرة .,راهي حابة بيرة.
157,corpus-6-test-corpus-26-train,صباح الخير . كيف حالك .,صباح الخير. واش راك؟
158,corpus-6-test-corpus-26-train,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .,سامحني لازم نطلب منك بطاقة تعريف.
169,corpus-6-test-corpus-26-train,أي نوع من الملابس ؟,واش من النوع تع الصوص؟
170,corpus-6-test-corpus-26-train,هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟,راهوا شوية بارد. تقدر تسخنو؟
173,corpus-6-test-corpus-26-test,أسف ، هذا المكان محجوز بالفعل .,سامحني، هاذ البلاصة محكومة.
176,corpus-6-test-corpus-26-train,أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟,مليح، بصح تقدر تعيط لصاحبي؟
177,corpus-6-test-corpus-26-test,شكراً ، هذا يكفي .,صحا. هذا ماكان.
184,corpus-6-test-corpus-26-train,من هو أفضل صديق لك ؟,شكون هو صاحبك الأنتيم؟
187,corpus-6-test-corpus-26-train,يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .,نهار الصحة والرياضة العاشر أكتوبر، هو نهار عطلة باش نشجعو الحياة الصحية.
192,corpus-6-test-corpus-26-train,هل تريد أن افحص موتور السيارة ؟,راك حاب نشوف تحت الكابو؟
206,corpus-6-test-corpus-26-train,هل لك أن تساعدني في الوصول إلى حقيبتي ؟,تقدر تعاوني باش نصيب الحقيبة تاعي؟
221,corpus-6-test-corpus-26-train,هل ستقوم بعمل الترتيبات مقدماً ؟,تقدر تاخذ كل الترتيبات من قبل؟
238,corpus-6-test-corpus-26-train,تقدم إلىّ المساعدة ، شكراً لك .,راهم تهلاو فيا. صحا.
261,corpus-6-test-corpus-26-train,عندما تصل هناك أسأل شخص آخر ، من فضلك .,كي توصل تما، اطلب من كاش واحد آخر، من فضلك.
280,corpus-6-test-corpus-26-train,أريد الامتداد أربع وعشرون ، من فضلك .,مركز أربعة و عشرون، من فضلك.
285,corpus-6-test-corpus-26-train,تفضل هذان دولاران . احتفظ بالباقي .,هاك اثنان دولار. خلي الباقي عندك.
315,corpus-6-test-corpus-26-train,واحد هامبرجر وواحد شيز برجر ، من فضلك .,همبرغر و شيزبرغر، من فضلك.
319,corpus-6-test-corpus-26-train,كم تتقاضى لتطبيع صور الفيلم ؟,شحال تاخذ باش تدير العملية؟
320,corpus-6-test-corpus-26-train,كلا منا يريد أن يحاسب على وجبته .,رانا حابين كل واحد يخلص الماكلة ديالو.
326,corpus-6-test-corpus-26-train,المكان كان على كرسي في البهو .,كان فوق واحد الكرسي فالكولواغ.
333,corpus-6-test-corpus-26-test,من فضلك غير هذه الينات إلى جنيهات .,من فضلك تقدر تبدل هاذ الين لجنيهات.
346,corpus-6-test-corpus-26-train,أريد قاموس جيب ، من فضلك .,نسحق قاموس جيب، من فضلك.
360,corpus-6-test-corpus-26-train,"لشخصين عند الساعة السابعة , الاسم وتاناب .",لزوج أشخاص على الساعة السبعة تع العشية، باسم واتاناب.
368,corpus-6-test-corpus-26-train,ساعتي . كانت ساعة سيكو رقمية .,الساعة ديالي. ديجيتال سايكو.
370,corpus-6-test-corpus-26-train,يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً بالغداء . دليل كامل بالمشروبات التي نقدمها على رحلتنا موجودة في دليل المعلومات الخاص بمجلتنا .,رانا حابين نقدمولك المشروب لي تحبو نتا، ممبعد نقدمولك العشا. تقدر تصيب كامل المشروبات الي كاينة في هاذ الرحلة في دليل المعلومات تع المجلة تاعنا.
373,corpus-6-test-corpus-26-test,هل تعيش بالقرب من هنا ؟,تسكن منا؟
375,corpus-6-test-corpus-26-train,أين محل الهدايا ؟,وين جاي المحل تع الهدايا؟
386,corpus-6-test-corpus-26-test,أنا على الطريق الرئيسي بجانب خليج موروا .,راني في الطريق السريع رقم واحد، قريب من مورو باي.
391,corpus-6-test-corpus-26-train,أريد منبه ، من فضلك .,نسحق منبه، من فضلك.
