id,split,MSA,ALG,ALG Translation
5,corpus-6-test-corpus-26-train,هناك ، أمام بيانات السائح تماما .,راهو لهيك، بالضبط قدام المكتب تع معلومات السياح.,"ଏହା, সকলো লোক ନିଜ ନିଜ"
9,corpus-6-test-corpus-26-train,لم اسمع بهذا العنوان من قبل بالقرب من هنا .,جامي سمعت بهاذ العنوان في هاذ الجيهة.,n'a n'a n'a n'a n'
11,corpus-6-test-corpus-26-train,استمر في السير في هذا الطريق حتى تجد صيدلية .,امشي قبالة حتى تشوف صيدلية.,Continue walking on this road until you find a stainless steel.
26,corpus-6-test-corpus-26-train,كم تكلفة الإفطار ؟,شحال القهوة تع الصباح؟,কত التكلفة التي يبلغها الوجبات ؟
27,corpus-6-test-corpus-26-train,كيف أستطيع مساعدتك ؟,كيفاش نقدر نعاونك؟,كيف أستطيع مساعدتك ؟
30,corpus-6-test-corpus-26-train,اتجه يسارا عند الناصية الثالثة .,دور على اليسار في الطريق الثالثة.,n'abalɔ n'abalɔ n'abalɔ 
50,corpus-6-test-corpus-26-train,هل تحب أن تضع قشدة وسكر في قهوتك ؟,تحب الكريمة و السكر فالقهوة ديالك؟,ଆପଣ تريدين وضع قشرة وسكر في قهوتك ؟
64,corpus-6-test-corpus-26-train,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟,تقدر تصرفلي الميتين دولار تاوعي لي راهوم فالشاك؟,ଆପଣ يمكنك صرف أموالك ذو المائتي دولار
74,corpus-6-test-corpus-26-train,إذا حدث ذلك ، من فضلك أتصل بي .,ويدا لازم يظهر، عيطلي من فضلك.,"ଯଦି ذلك حدث, يمكنك اتصل بي."
86,corpus-6-test-corpus-26-train,أين المقهى ؟,وين جايا القهوة؟,Where's the restaurant?
87,corpus-6-test-corpus-26-train,أريد جاكيت للأطفال .,راني حاب تريكو تع أطفال.,أنا بحاجة إلى جاكيت أطفال.
91,corpus-6-test-corpus-26-train,حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .,ايه. معنتها خمسة و ثمانون سنت للبرية العادية، و تزيدلها ثلاثة دولار بالضبط باش تبعثها اكسبرس.,Okay. They cost almost $500 in bulk mail and three dollars
120,corpus-6-test-corpus-26-test,كنت سأشتري هذا إن كنت في مكانك ؟,لوكان جيت في بلاصتك نشريها.,Should I buy this if you're in your place?
129,corpus-6-test-corpus-26-train,هل لديك أحذية حريمي عند أصابع القدم ؟,راني حاب نعرف ويدا يكون عندي مشكل مع الجمارك؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
130,corpus-6-test-corpus-26-train,هل ستواجهني أية صعوبات في الجمارك ؟,عندكم صبابط رسمية عراض من القدام؟,আমি لست بحاجة إلى مشكلة في سوق الفوركس؟
140,corpus-6-test-corpus-26-train,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .,لالا. نقترح عليك غرفة فيها زوج بناك لشخص واحد. كاينة واحدة واجدة.,"'No, n'om n'om n'om n'"
143,corpus-6-test-corpus-26-train,أريد تمويج متقارب لشعري ، من فضلك .,راني حاب برمانونت قوي.,أنا wanna be a higher league.
145,corpus-6-test-corpus-26-train,هي تريد بيرة .,راهي حابة بيرة.,They want a beer.
157,corpus-6-test-corpus-26-train,صباح الخير . كيف حالك .,صباح الخير. واش راك؟,Bonjour! - Where's your situation?
158,corpus-6-test-corpus-26-train,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .,سامحني لازم نطلب منك بطاقة تعريف.,আমি لست بحاجة إلى أن أطلع على أي مستند لتحديد
169,corpus-6-test-corpus-26-train,أي نوع من الملابس ؟,واش من النوع تع الصوص؟,- which type of clothing do you have?
170,corpus-6-test-corpus-26-train,هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟,راهوا شوية بارد. تقدر تسخنو؟,এই بارد للغاية......
173,corpus-6-test-corpus-26-test,أسف ، هذا المكان محجوز بالفعل .,سامحني، هاذ البلاصة محكومة.,"n'o, n'o n'o n'o "
176,corpus-6-test-corpus-26-train,أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟,مليح، بصح تقدر تعيط لصاحبي؟,أنا بحاجة لمساعدة صديق.
177,corpus-6-test-corpus-26-test,شكراً ، هذا يكفي .,صحا. هذا ماكان.,"Obrigada, eh."
184,corpus-6-test-corpus-26-train,من هو أفضل صديق لك ؟,شكون هو صاحبك الأنتيم؟,Where's your best friend?
187,corpus-6-test-corpus-26-train,يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .,نهار الصحة والرياضة العاشر أكتوبر، هو نهار عطلة باش نشجعو الحياة الصحية.,رياضة رياضية - ଏହା ଏକ قومي -
192,corpus-6-test-corpus-26-train,هل تريد أن افحص موتور السيارة ؟,راك حاب نشوف تحت الكابو؟,ଆପଣ بحاجة إلى إجراء اختبار الجهاز الكهرب
206,corpus-6-test-corpus-26-train,هل لك أن تساعدني في الوصول إلى حقيبتي ؟,تقدر تعاوني باش نصيب الحقيبة تاعي؟,ଆପଣ يمكنك أن تساعدني على الوصول إلى مكان
